T,genP,demP,H,B
0,0,1.912,52,361
0.5,0,1.952,52,361
1,0,1.897,52,361
1.5,0,1.247,52,361
2,0,0.055,52,361
2.5,0,0.049,52,361
3,0,0.042,52,361
3.5,0,0.045,52,361
4,0,0.164,52,361
4.5,0,0.41,52,361
5,0,0.04,52,361
5.5,0,0.041,52,361
6,0.013,0.048,52,361
6.5,0.075,0.048,52,361
7,0.138,0.041,52,361
7.5,0.206,0.038,52,361
8,0.194,0.047,52,361
8.5,0.306,0.417,52,361
9,0.356,0.062,52,361
9.5,0.281,0.064,52,361
10,0.319,0.064,52,361
10.5,0.413,0.047,52,361
11,0.288,0.063,52,361
11.5,0.263,0.089,52,361
12,0.338,0.132,52,361
12.5,0.431,0.09,52,361
13,0.338,0.056,52,361
13.5,0.3,0.2,52,361
14,0.288,0.068,52,361
14.5,0.375,0.681,52,361
15,0.331,0.231,52,361
15.5,0.244,0.071,52,361
16,0.213,0.066,52,361
16.5,0.156,0.059,52,361
17,0.088,0.055,52,361
17.5,0.05,0.09,52,361
18,0.038,0.22,52,361
18.5,0.013,0.095,52,361
19,0,0.872,52,361
19.5,0,0.877,52,361
20,0,0.422,52,361
20.5,0,0.198,52,361
21,0,0.139,52,361
21.5,0,0.148,52,361
22,0,0.057,52,361
22.5,0,0.041,52,361
23,0,0.097,52,361
23.5,0,1.399,52,361
