T,genP,demP,H,B
0,0,0.332,75,483
0.5,0,1.023,75,483
1,0,0.539,75,483
1.5,0,0.483,75,483
2,0,0.246,75,483
2.5,0,0.481,75,483
3,0,0.175,75,483
3.5,0,0.418,75,483
4,0,0.186,75,483
4.5,0,0.526,75,483
5,0,0.869,75,483
5.5,0,1.518,75,483
6,0.031,1.043,75,483
6.5,0.15,1.332,75,483
7,0.288,0.171,75,483
7.5,0.356,0.284,75,483
8,0.394,0.304,75,483
8.5,0.431,0.185,75,483
9,0.663,0.848,75,483
9.5,1.019,0.633,75,483
10,1.106,0.531,75,483
10.5,2.206,0.528,75,483
11,2.844,0.514,75,483
11.5,2.981,0.592,75,483
12,3.35,0.615,75,483
12.5,3.844,0.587,75,483
13,4.144,0.654,75,483
13.5,4.094,0.55,75,483
14,4.069,0.55,75,483
14.5,3.925,0.536,75,483
15,3.638,0.537,75,483
15.5,3.469,0.65,75,483
16,2.538,0.41,75,483
16.5,2.638,0.26,75,483
17,2.081,0.126,75,483
17.5,0.869,0.197,75,483
18,0.25,0.25,75,483
18.5,0.113,0.94,75,483
19,0.006,0.189,75,483
19.5,0.006,0.198,75,483
20,0,0.178,75,483
20.5,0,0.186,75,483
21,0,0.182,75,483
21.5,0,0.191,75,483
22,0,1.902,75,483
22.5,0,2.975,75,483
23,0,2.217,75,483
23.5,0,0.891,75,483
