T,genP,demP,H,B
0,0,0.051,37,267
0.5,0,0.051,37,267
1,0,0.035,37,267
1.5,0,0.08,37,267
2,0,0.054,37,267
2.5,0,0.051,37,267
3,0,0.032,37,267
3.5,0,0.054,37,267
4,0,0.084,37,267
4.5,0,0.046,37,267
5,0,0.064,37,267
5.5,0,0.166,37,267
6,0.084,0.301,37,267
6.5,0.22,0.163,37,267
7,0.345,0.05,37,267
7.5,0.433,0.064,37,267
8,0.446,0.098,37,267
8.5,0.548,0.086,37,267
9,0.6,0.339,37,267
9.5,0.632,0.936,37,267
10,0.655,0.467,37,267
10.5,0.668,0.462,37,267
11,0.601,0.501,37,267
11.5,0.451,0.293,37,267
12,0.399,0.048,37,267
12.5,0.575,0.102,37,267
13,0.621,0.761,37,267
13.5,0.576,0.577,37,267
14,0.524,0.378,37,267
14.5,0.43,0.385,37,267
15,0.378,0.414,37,267
15.5,0.306,0.478,37,267
16,0.216,0.386,37,267
16.5,0.118,0.143,37,267
17,0.071,0.131,37,267
17.5,0.033,0.196,37,267
18,0.021,0.246,37,267
18.5,0.011,0.255,37,267
19,0.001,0.254,37,267
19.5,0,0.238,37,267
20,0,0.201,37,267
20.5,0,0.2,37,267
21,0,0.225,37,267
21.5,0,0.268,37,267
22,0,0.213,37,267
22.5,0,0.121,37,267
23,0,0.056,37,267
23.5,0,0.046,37,267
