T,genP,demP,H,B
0,0,1.333,62,421
0.5,0,1.421,62,421
1,0,1.573,62,421
1.5,0,1.507,62,421
2,0,1.272,62,421
2.5,0,1.234,62,421
3,0,1.101,62,421
3.5,0,0.661,62,421
4,0,0.592,62,421
4.5,0,0.588,62,421
5,0,0.597,62,421
5.5,0,0.593,62,421
6,0,0.59,62,421
6.5,0.031,0.587,62,421
7,0.1,0.579,62,421
7.5,0.181,0.588,62,421
8,0.3,0.586,62,421
8.5,0.381,0.586,62,421
9,0.456,0.667,62,421
9.5,0.513,0.967,62,421
10,0.581,0.984,62,421
10.5,0.613,0.969,62,421
11,0.644,0.968,62,421
11.5,0.681,0.967,62,421
12,0.588,1.087,62,421
12.5,0.675,1.055,62,421
13,0.65,1.052,62,421
13.5,0.644,1.048,62,421
14,0.613,1.071,62,421
14.5,0.569,1.108,62,421
15,0.513,1.078,62,421
15.5,0.444,1.047,62,421
16,0.375,1.033,62,421
16.5,0.288,1.031,62,421
17,0.2,1.032,62,421
17.5,0.1,1.026,62,421
18,0.025,1.032,62,421
18.5,0.013,0.7,62,421
19,0.006,0.654,62,421
19.5,0,0.637,62,421
20,0,0.639,62,421
20.5,0,0.643,62,421
21,0,0.657,62,421
21.5,0,0.708,62,421
22,0,0.962,62,421
22.5,0,0.945,62,421
23,0,1.769,62,421
23.5,0,1.025,62,421
