T,genP,demP,H,B
0,0.006,0.274,91,528
0.5,0,0.175,91,528
1,0,0.082,91,528
1.5,0,0.101,91,528
2,0,0.085,91,528
2.5,0,0.175,91,528
3,0,0.118,91,528
3.5,0,0.115,91,528
4,0,0.093,91,528
4.5,0,0.082,91,528
5,0,0.083,91,528
5.5,0,0.082,91,528
6,0.006,0.062,91,528
6.5,0.044,0.103,91,528
7,0.1,0.052,91,528
7.5,0.131,0.094,91,528
8,0.181,0.09,91,528
8.5,0.269,0.538,91,528
9,0.35,0.765,91,528
9.5,0.575,1.149,91,528
10,0.5,1.059,91,528
10.5,0.425,1.509,91,528
11,0.356,1.766,91,528
11.5,0.369,1.8,91,528
12,0.344,1.37,91,528
12.5,0.344,1.357,91,528
13,0.525,1.455,91,528
13.5,0.431,1.395,91,528
14,0.344,1.272,91,528
14.5,0.413,1.219,91,528
15,0.381,1.174,91,528
15.5,0.256,1.544,91,528
16,0.163,1.473,91,528
16.5,0.031,0.707,91,528
17,0.019,0.908,91,528
17.5,0.019,0.98,91,528
18,0.013,0.745,91,528
18.5,0.013,0.424,91,528
19,0,0.527,91,528
19.5,0,0.475,91,528
20,0,1.306,91,528
20.5,0,0.976,91,528
21,0,1.206,91,528
21.5,0,0.991,91,528
22,0,0.448,91,528
22.5,0,0.288,91,528
23,0,0.22,91,528
23.5,0,0.223,91,528
