T,genP,demP,H,B
0,0,0.269,34,252
0.5,0,0.256,34,252
1,0,0.275,34,252
1.5,0,0.269,34,252
2,0,0.263,34,252
2.5,0,0.263,34,252
3,0,0.331,34,252
3.5,0,0.275,34,252
4,0,0.263,34,252
4.5,0,0.263,34,252
5,0,0.163,34,252
5.5,0,0.144,34,252
6,0,0.156,34,252
6.5,0.013,0.169,34,252
7,0.038,0.144,34,252
7.5,0.063,0.15,34,252
8,0.088,0.331,34,252
8.5,0.106,0.219,34,252
9,0.169,0.244,34,252
9.5,0.263,0.288,34,252
10,0.325,0.35,34,252
10.5,0.244,0.638,34,252
11,0.256,0.231,34,252
11.5,0.288,0.188,34,252
12,0.331,0.181,34,252
12.5,0.306,0.213,34,252
13,0.306,0.231,34,252
13.5,0.388,0.238,34,252
14,0.381,0.288,34,252
14.5,0.363,0.181,34,252
15,0.331,0.219,34,252
15.5,0.3,0.213,34,252
16,0.256,0.263,34,252
16.5,0.2,0.3,34,252
17,0.156,0.288,34,252
17.5,0.094,0.406,34,252
18,0.038,0.331,34,252
18.5,0.006,0.281,34,252
19,0,0.263,34,252
19.5,0,0.425,34,252
20,0,0.831,34,252
20.5,0,0.456,34,252
21,0,1.319,34,252
21.5,0,0.8,34,252
22,0,0.425,34,252
22.5,0,0.381,34,252
23,0,0.356,34,252
23.5,0,0.344,34,252
