T,genP,demP,H,B
0,0,0.979,98,538
0.5,0,0.982,98,538
1,0,0.912,98,538
1.5,0,0.821,98,538
2,0,0.87,98,538
2.5,0,0.95,98,538
3,0,0.872,98,538
3.5,0,0.886,98,538
4,0,0.871,98,538
4.5,0,0.936,98,538
5,0,0.98,98,538
5.5,0,0.893,98,538
6,0.006,0.996,98,538
6.5,0.025,0.891,98,538
7,0.075,0.88,98,538
7.5,0.163,0.814,98,538
8,0.231,1.13,98,538
8.5,0.288,0.416,98,538
9,0.319,0.374,98,538
9.5,0.35,0.346,98,538
10,0.3,0.617,98,538
10.5,0.125,0.276,98,538
11,0.194,0.35,98,538
11.5,0.231,0.357,98,538
12,0.269,0.298,98,538
12.5,0.325,0.288,98,538
13,0.288,0.21,98,538
13.5,0.306,0.239,98,538
14,0.281,0.274,98,538
14.5,0.25,0.566,98,538
15,0.194,0.463,98,538
15.5,0.156,0.331,98,538
16,0.106,0.284,98,538
16.5,0.063,0.324,98,538
17,0.025,0.346,98,538
17.5,0.006,0.283,98,538
18,0,0.29,98,538
18.5,0.006,0.277,98,538
19,0,0.342,98,538
19.5,0,0.401,98,538
20,0,0.912,98,538
20.5,0,1.064,98,538
21,0,0.998,98,538
21.5,0,0.927,98,538
22,0,0.357,98,538
22.5,0,0.306,98,538
23,0,0.335,98,538
23.5,0,0.364,98,538
