T,genP,demP,H,B
0,0,0.316,65,437
0.5,0,0.27,65,437
1,0,0.275,65,437
1.5,0,0.258,65,437
2,0,0.282,65,437
2.5,0,0.266,65,437
3,0,0.269,65,437
3.5,0,0.281,65,437
4,0,0.252,65,437
4.5,0,0.342,65,437
5,0,0.306,65,437
5.5,0,0.426,65,437
6,0.012,0.229,65,437
6.5,0.03,0.522,65,437
7,0.053,0.332,65,437
7.5,0.184,0.342,65,437
8,0.313,0.242,65,437
8.5,0.399,0.483,65,437
9,0.354,0.756,65,437
9.5,0.277,0.529,65,437
10,0.601,0.816,65,437
10.5,0.638,0.534,65,437
11,0.671,0.7,65,437
11.5,0.405,0.711,65,437
12,0.528,0.377,65,437
12.5,0.574,0.63,65,437
13,0.646,0.75,65,437
13.5,0.639,0.593,65,437
14,0.607,0.528,65,437
14.5,0.556,0.298,65,437
15,0.509,0.39,65,437
15.5,0.423,0.606,65,437
16,0.362,0.424,65,437
16.5,0.264,0.361,65,437
17,0.174,0.339,65,437
17.5,0.077,0.386,65,437
18,0.016,0.253,65,437
18.5,0.009,0.603,65,437
19,0.002,0.843,65,437
19.5,0,1.049,65,437
20,0,1.018,65,437
20.5,0,1.046,65,437
21,0,0.886,65,437
21.5,0,0.796,65,437
22,0,1.139,65,437
22.5,0,0.62,65,437
23,0,0.621,65,437
23.5,0,0.374,65,437
