T,genP,demP,H,B
0,0.006,0.179,68,457
0.5,0,0.138,68,457
1,0,0.205,68,457
1.5,0,0.144,68,457
2,0,0.177,68,457
2.5,0,0.181,68,457
3,0,0.137,68,457
3.5,0,0.206,68,457
4,0,0.15,68,457
4.5,0,0.117,68,457
5,0,0.123,68,457
5.5,0,0.27,68,457
6,0,0.208,68,457
6.5,0.006,0.191,68,457
7,0.013,0.399,68,457
7.5,0.031,0.745,68,457
8,0.031,0.319,68,457
8.5,0.025,0.336,68,457
9,0.088,1.07,68,457
9.5,0.169,1.292,68,457
10,0.219,0.373,68,457
10.5,0.35,0.266,68,457
11,0.331,0.187,68,457
11.5,0.313,0.293,68,457
12,0.5,0.628,68,457
12.5,0.388,1.615,68,457
13,0.444,0.74,68,457
13.5,0.588,0.698,68,457
14,0.538,0.657,68,457
14.5,0.531,0.617,68,457
15,0.475,0.604,68,457
15.5,0.425,0.533,68,457
16,0.35,0.307,68,457
16.5,0.275,0.226,68,457
17,0.194,0.826,68,457
17.5,0.106,1.043,68,457
18,0.056,0.345,68,457
18.5,0.025,0.188,68,457
19,0,0.212,68,457
19.5,0,0.173,68,457
20,0,0.281,68,457
20.5,0,0.133,68,457
21,0,0.306,68,457
21.5,0,0.28,68,457
22,0,0.225,68,457
22.5,0,0.257,68,457
23,0,0.2,68,457
23.5,0,0.206,68,457
