T,genP,demP,H,B
0,0,0.159,73,478
0.5,0,0.055,73,478
1,0,0.063,73,478
1.5,0,0.079,73,478
2,0,0.049,73,478
2.5,0,0.052,73,478
3,0,0.08,73,478
3.5,0,0.059,73,478
4,0,0.044,73,478
4.5,0,0.072,73,478
5,0,0.074,73,478
5.5,0,0.057,73,478
6,0.006,0.112,73,478
6.5,0.056,0.104,73,478
7,0.131,0.059,73,478
7.5,0.231,0.08,73,478
8,0.356,0.043,73,478
8.5,0.519,0.054,73,478
9,0.619,0.158,73,478
9.5,0.644,0.186,73,478
10,0.756,0.228,73,478
10.5,0.8,0.103,73,478
11,0.831,0.076,73,478
11.5,0.675,0.196,73,478
12,0.369,0.106,73,478
12.5,0.788,0.119,73,478
13,0.825,0.198,73,478
13.5,0.794,0.206,73,478
14,0.763,0.145,73,478
14.5,0.713,0.197,73,478
15,0.619,0.191,73,478
15.5,0.338,0.163,73,478
16,0.238,0.223,73,478
16.5,0.05,0.263,73,478
17,0.05,0.203,73,478
17.5,0.081,0.167,73,478
18,0.063,0.184,73,478
18.5,0.031,0.145,73,478
19,0,0.241,73,478
19.5,0,0.416,73,478
20,0,0.433,73,478
20.5,0,0.311,73,478
21,0,0.329,73,478
21.5,0,0.403,73,478
22,0,0.28,73,478
22.5,0,0.114,73,478
23,0,0.108,73,478
23.5,0,0.056,73,478
