T,genP,demP,H,B
0,0,0.106,93,532
0.5,0,0.113,93,532
1,0,0.106,93,532
1.5,0,0.138,93,532
2,0,0.156,93,532
2.5,0,0.15,93,532
3,0,0.156,93,532
3.5,0,0.119,93,532
4,0,0.1,93,532
4.5,0,0.106,93,532
5,0,0.113,93,532
5.5,0,0.144,93,532
6,0.05,0.163,93,532
6.5,0.181,0.156,93,532
7,0.288,0.156,93,532
7.5,0.438,0.156,93,532
8,0.481,0.106,93,532
8.5,0.631,0.113,93,532
9,0.669,0.194,93,532
9.5,0.713,0.2,93,532
10,0.738,0.4,93,532
10.5,0.781,0.219,93,532
11,0.825,0.144,93,532
11.5,0.825,0.113,93,532
12,0.819,0.144,93,532
12.5,0.794,0.144,93,532
13,0.775,0.119,93,532
13.5,0.725,0.163,93,532
14,0.663,0.231,93,532
14.5,0.588,0.25,93,532
15,0.5,0.356,93,532
15.5,0.388,0.294,93,532
16,0.263,0.281,93,532
16.5,0.144,0.25,93,532
17,0.063,0.294,93,532
17.5,0.063,0.581,93,532
18,0.05,1.288,93,532
18.5,0.025,0.288,93,532
19,0,0.344,93,532
19.5,0,0.388,93,532
20,0,0.419,93,532
20.5,0,0.581,93,532
21,0,0.481,93,532
21.5,0,0.456,93,532
22,0,0.269,93,532
22.5,0,0.338,93,532
23,0,0.206,93,532
23.5,0,0.119,93,532
