T,genP,demP,H,B
0,0,0.054,53,373
0.5,0,0.156,53,373
1,0,0.083,53,373
1.5,0,0.069,53,373
2,0,0.066,53,373
2.5,0,0.067,53,373
3,0,0.061,53,373
3.5,0,0.053,53,373
4,0,0.064,53,373
4.5,0,0.065,53,373
5,0,0.047,53,373
5.5,0,0.065,53,373
6,0,0.246,53,373
6.5,0.019,0.222,53,373
7,0.144,0.52,53,373
7.5,0.213,0.427,53,373
8,0.306,0.191,53,373
8.5,0.369,0.127,53,373
9,0.438,0.103,53,373
9.5,0.506,0.048,53,373
10,0.55,0.083,53,373
10.5,0.575,0.047,53,373
11,0.481,0.079,53,373
11.5,0.475,0.048,53,373
12,0.5,0.076,53,373
12.5,0.456,0.05,53,373
13,0.444,0.105,53,373
13.5,0.575,0.1,53,373
14,0.538,0.064,53,373
14.5,0.506,0.075,53,373
15,0.456,0.054,53,373
15.5,0.394,0.084,53,373
16,0.325,0.156,53,373
16.5,0.244,0.078,53,373
17,0.15,0.047,53,373
17.5,0.069,0.076,53,373
18,0.013,0.086,53,373
18.5,0.019,0.608,53,373
19,0.006,0.561,53,373
19.5,0,0.56,53,373
20,0,0.679,53,373
20.5,0,0.618,53,373
21,0,0.474,53,373
21.5,0,0.596,53,373
22,0,0.397,53,373
22.5,0,0.242,53,373
23,0,0.241,53,373
23.5,0,0.286,53,373
