T,genP,demP,H,B
0,0,0.099,97,537
0.5,0,0.095,97,537
1,0,0.08,97,537
1.5,0,0.074,97,537
2,0,0.069,97,537
2.5,0,0.07,97,537
3,0,0.071,97,537
3.5,0,0.077,97,537
4,0,0.077,97,537
4.5,0,0.069,97,537
5,0,0.069,97,537
5.5,0,0.069,97,537
6,0.019,0.077,97,537
6.5,0.067,0.075,97,537
7,0.204,0.069,97,537
7.5,0.359,0.069,97,537
8,0.491,0.068,97,537
8.5,0.622,0.079,97,537
9,0.526,0.079,97,537
9.5,0.797,0.07,97,537
10,0.883,0.07,97,537
10.5,0.937,0.071,97,537
11,0.98,0.071,97,537
11.5,0.877,0.082,97,537
12,0.752,0.077,97,537
12.5,0.782,0.073,97,537
13,0.816,0.073,97,537
13.5,0.957,0.073,97,537
14,0.909,0.074,97,537
14.5,0.846,0.08,97,537
15,0.769,0.082,97,537
15.5,0.686,0.076,97,537
16,0.571,0.073,97,537
16.5,0.395,0.074,97,537
17,0.293,0.073,97,537
17.5,0.115,0.078,97,537
18,0.031,0.082,97,537
18.5,0.014,0.083,97,537
19,0.004,0.076,97,537
19.5,0,0.076,97,537
20,0,0.103,97,537
20.5,0,0.101,97,537
21,0,0.108,97,537
21.5,0,0.111,97,537
22,0,0.108,97,537
22.5,0,0.103,97,537
23,0,0.102,97,537
23.5,0,0.102,97,537
