T,genP,demP,H,B
0,0,0.229,59,400
0.5,0,0.286,59,400
1,0,0.16,59,400
1.5,0,0.402,59,400
2,0,0.355,59,400
2.5,0,0.268,59,400
3,0,0.21,59,400
3.5,0,0.179,59,400
4,0,0.196,59,400
4.5,0,0.209,59,400
5,0,0.364,59,400
5.5,0,0.343,59,400
6,0.006,0.338,59,400
6.5,0.025,0.13,59,400
7,0.056,0.227,59,400
7.5,0.181,0.224,59,400
8,0.338,0.476,59,400
8.5,0.488,0.406,59,400
9,0.638,0.776,59,400
9.5,0.775,1.302,59,400
10,0.888,1.447,59,400
10.5,0.981,1.097,59,400
11,1.056,0.981,59,400
11.5,1.119,0.578,59,400
12,1.163,0.616,59,400
12.5,1.194,0.611,59,400
13,1.181,0.48,59,400
13.5,1.113,0.329,59,400
14,1.181,0.595,59,400
14.5,1.144,0.572,59,400
15,1.088,0.369,59,400
15.5,1.019,0.36,59,400
16,0.919,0.529,59,400
16.5,0.794,0.465,59,400
17,0.644,0.724,59,400
17.5,0.431,0.58,59,400
18,0.2,0.561,59,400
18.5,0.075,0.724,59,400
19,0,1.274,59,400
19.5,0,0.526,59,400
20,0,0.486,59,400
20.5,0,0.546,59,400
21,0,0.376,59,400
21.5,0,0.336,59,400
22,0,0.199,59,400
22.5,0,0.202,59,400
23,0,0.18,59,400
23.5,0,0.367,59,400
