T,genP,demP,H,B
0,0,0.585,55,387
0.5,0,0.47,55,387
1,0,0.44,55,387
1.5,0,0.328,55,387
2,0,0.374,55,387
2.5,0,0.296,55,387
3,0,0.258,55,387
3.5,0,0.254,55,387
4,0,0.322,55,387
4.5,0,0.52,55,387
5,0,0.277,55,387
5.5,0,0.204,55,387
6,0.006,0.189,55,387
6.5,0.038,0.13,55,387
7,0.169,0.58,55,387
7.5,0.331,0.368,55,387
8,0.444,0.19,55,387
8.5,0.569,0.169,55,387
9,0.669,0.363,55,387
9.5,0.738,0.247,55,387
10,0.75,0.607,55,387
10.5,0.856,0.381,55,387
11,0.731,0.349,55,387
11.5,0.625,0.358,55,387
12,0.7,0.249,55,387
12.5,0.831,0.137,55,387
13,0.919,0.23,55,387
13.5,0.769,0.392,55,387
14,0.525,0.611,55,387
14.5,0.725,0.656,55,387
15,0.719,0.809,55,387
15.5,0.625,0.513,55,387
16,0.525,0.52,55,387
16.5,0.419,1.292,55,387
17,0.244,0.963,55,387
17.5,0.038,0.622,55,387
18,0.038,0.584,55,387
18.5,0.038,0.595,55,387
19,0,0.602,55,387
19.5,0,0.823,55,387
20,0,1.018,55,387
20.5,0,0.973,55,387
21,0,0.985,55,387
21.5,0,0.937,55,387
22,0,0.933,55,387
22.5,0,1.09,55,387
23,0,1.156,55,387
23.5,0,1.136,55,387
