T,genP,demP,H,B
0,0,0.042,51,353
0.5,0.006,0.042,51,353
1,0,0.048,51,353
1.5,0,0.049,51,353
2,0,0.049,51,353
2.5,0,0.044,51,353
3,0,0.039,51,353
3.5,0,0.075,51,353
4,0,0.07,51,353
4.5,0,0.039,51,353
5,0,0.046,51,353
5.5,0,0.048,51,353
6,0.006,0.048,51,353
6.5,0.013,0.039,51,353
7,0.019,0.038,51,353
7.5,0.031,0.038,51,353
8,0.081,0.038,51,353
8.5,0.181,0.042,51,353
9,0.231,0.078,51,353
9.5,0.344,0.096,51,353
10,0.438,0.067,51,353
10.5,0.481,0.053,51,353
11,0.513,0.053,51,353
11.5,0.419,0.053,51,353
12,0.269,0.049,51,353
12.5,0.631,0.059,51,353
13,0.656,0.088,51,353
13.5,0.663,0.099,51,353
14,0.375,0.096,51,353
14.5,0.581,0.074,51,353
15,0.525,0.061,51,353
15.5,0.544,0.059,51,353
16,0.531,0.06,51,353
16.5,0.325,0.056,51,353
17,0.075,0.072,51,353
17.5,0.056,0.095,51,353
18,0.056,0.089,51,353
18.5,0.025,0.071,51,353
19,0.006,0.046,51,353
19.5,0,0.045,51,353
20,0,0.052,51,353
20.5,0,0.062,51,353
21,0,0.056,51,353
21.5,0,0.147,51,353
22,0,0.102,51,353
22.5,0,0.1,51,353
23,0,0.092,51,353
23.5,0,0.06,51,353
