T,genP,demP,H,B
0,0,0.078,83,503
0.5,0,0.132,83,503
1,0,0.076,83,503
1.5,0,0.123,83,503
2,0,0.086,83,503
2.5,0,0.11,83,503
3,0,0.1,83,503
3.5,0,0.096,83,503
4,0,0.113,83,503
4.5,0,0.117,83,503
5,0,0.152,83,503
5.5,0,0.072,83,503
6,0.006,0.125,83,503
6.5,0.044,0.074,83,503
7,0.038,0.124,83,503
7.5,0.088,0.32,83,503
8,0.169,0.458,83,503
8.5,0.356,0.177,83,503
9,0.269,0.28,83,503
9.5,0.588,0.141,83,503
10,0.638,0.28,83,503
10.5,0.706,0.262,83,503
11,0.613,0.211,83,503
11.5,0.644,0.412,83,503
12,0.681,0.355,83,503
12.5,0.856,0.26,83,503
13,1.106,0.106,83,503
13.5,1.175,0.314,83,503
14,1.194,0.139,83,503
14.5,1.169,0.081,83,503
15,1.113,0.406,83,503
15.5,0.906,0.273,83,503
16,0.925,0.101,83,503
16.5,0.869,0.169,83,503
17,0.719,0.581,83,503
17.5,0.388,0.1,83,503
18,0.081,0.105,83,503
18.5,0.05,0.367,83,503
19,0.013,0.213,83,503
19.5,0,0.316,83,503
20,0,0.222,83,503
20.5,0,0.267,83,503
21,0,0.251,83,503
21.5,0,0.258,83,503
22,0,0.177,83,503
22.5,0,0.087,83,503
23,0,0.131,83,503
23.5,0,0.077,83,503
