T,genP,demP,H,B
0,0,0.153,82,501
0.5,0,0.117,82,501
1,0,0.135,82,501
1.5,0,0.165,82,501
2,0,0.101,82,501
2.5,0,0.165,82,501
3,0,0.242,82,501
3.5,0,0.214,82,501
4,0,0.237,82,501
4.5,0,0.158,82,501
5,0,0.188,82,501
5.5,0,0.202,82,501
6,0.013,0.732,82,501
6.5,0.038,2.881,82,501
7,0.081,1.225,82,501
7.5,0.175,0.896,82,501
8,0.413,0.967,82,501
8.5,0.669,0.808,82,501
9,0.969,1.441,82,501
9.5,1.069,1.07,82,501
10,1.356,0.887,82,501
10.5,1.025,0.998,82,501
11,1.05,1.108,82,501
11.5,1.288,0.99,82,501
12,1.188,0.861,82,501
12.5,1.025,0.735,82,501
13,1.494,0.99,82,501
13.5,1.531,1.42,82,501
14,2,1.179,82,501
14.5,2.05,0.797,82,501
15,2,1.688,82,501
15.5,1.744,1.204,82,501
16,1.731,1.576,82,501
16.5,1.575,1.397,82,501
17,1.306,0.611,82,501
17.5,0.981,1.203,82,501
18,0.325,1.882,82,501
18.5,0.088,1.654,82,501
19,0.013,0.795,82,501
19.5,0,1.667,82,501
20,0,1.519,82,501
20.5,0,0.561,82,501
21,0,0.363,82,501
21.5,0,0.231,82,501
22,0,0.272,82,501
22.5,0,0.194,82,501
23,0,0.149,82,501
23.5,0,0.188,82,501
