T,genP,demP,H,B
0,0,0.075,25,200
0.5,0,0.125,25,200
1,0,0.063,25,200
1.5,0,0.125,25,200
2,0,0.081,25,200
2.5,0,0.088,25,200
3,0,0.1,25,200
3.5,0,0.075,25,200
4,0,0.125,25,200
4.5,0,0.063,25,200
5,0,0.113,25,200
5.5,0,0.075,25,200
6,0,0.088,25,200
6.5,0,0.138,25,200
7,0,0.113,25,200
7.5,0.013,0.15,25,200
8,0.056,0.125,25,200
8.5,0.1,0.125,25,200
9,0.156,0.238,25,200
9.5,0.244,0.175,25,200
10,0.169,0.275,25,200
10.5,0.231,0.338,25,200
11,0.213,0.288,25,200
11.5,0.244,0.15,25,200
12,0.394,0.188,25,200
12.5,0.363,0.213,25,200
13,0.269,0.213,25,200
13.5,0.369,0.363,25,200
14,0.281,0.225,25,200
14.5,0.406,0.2,25,200
15,0.381,0.2,25,200
15.5,0.363,0.063,25,200
16,0.338,0.113,25,200
16.5,0.281,0.1,25,200
17,0.263,0.2,25,200
17.5,0.156,0.325,25,200
18,0.1,1.188,25,200
18.5,0.044,0.225,25,200
19,0.006,0.35,25,200
19.5,0,0.413,25,200
20,0,0.55,25,200
20.5,0,0.438,25,200
21,0,0.294,25,200
21.5,0,0.263,25,200
22,0,0.238,25,200
22.5,0,0.2,25,200
23,0,0.163,25,200
23.5,0,0.15,25,200
