T,genP,demP,H,B
0,0,0.109,38,278
0.5,0,0.667,38,278
1,0,0.048,38,278
1.5,0,0.08,38,278
2,0,0.05,38,278
2.5,0,0.072,38,278
3,0,0.056,38,278
3.5,0,0.051,38,278
4,0,0.075,38,278
4.5,0,0.647,38,278
5,0,0.139,38,278
5.5,0,0.081,38,278
6,0.006,0.056,38,278
6.5,0.006,0.07,38,278
7,0.031,0.049,38,278
7.5,0.088,0.076,38,278
8,0.156,0.05,38,278
8.5,0.194,0.049,38,278
9,0.263,0.739,38,278
9.5,0.206,0.059,38,278
10,0.275,0.785,38,278
10.5,0.306,0.873,38,278
11,0.35,0.208,38,278
11.5,0.288,0.545,38,278
12,0.275,0.078,38,278
12.5,0.413,0.049,38,278
13,0.35,0.08,38,278
13.5,0.413,0.049,38,278
14,0.419,0.08,38,278
14.5,0.4,0.049,38,278
15,0.381,0.08,38,278
15.5,0.331,0.123,38,278
16,0.3,0.146,38,278
16.5,0.244,0.936,38,278
17,0.188,1.214,38,278
17.5,0.131,0.116,38,278
18,0.044,0.747,38,278
18.5,0.006,0.081,38,278
19,0,0.071,38,278
19.5,0,0.318,38,278
20,0,2.36,38,278
20.5,0,1.01,38,278
21,0,0.105,38,278
21.5,0,0.925,38,278
22,0,0.225,38,278
22.5,0,0.109,38,278
23,0,0.703,38,278
23.5,0,0.133,38,278
