T,genP,demP,H,B
0,0,0.058,87,516
0.5,0,0.045,87,516
1,0,0.064,87,516
1.5,0,0.07,87,516
2,0,0.067,87,516
2.5,0,0.054,87,516
3,0,0.044,87,516
3.5,0,0.052,87,516
4,0,0.151,87,516
4.5,0,0.441,87,516
5,0,0.425,87,516
5.5,0,0.42,87,516
6,0,0.344,87,516
6.5,0.019,0.068,87,516
7,0.038,0.061,87,516
7.5,0.094,0.084,87,516
8,0.2,0.1,87,516
8.5,0.313,0.127,87,516
9,0.456,0.064,87,516
9.5,0.556,0.063,87,516
10,0.644,0.07,87,516
10.5,0.725,0.051,87,516
11,0.781,0.089,87,516
11.5,0.863,0.13,87,516
12,0.756,0.15,87,516
12.5,0.906,0.145,87,516
13,0.913,0.139,87,516
13.5,0.919,0.117,87,516
14,0.894,0.106,87,516
14.5,0.869,0.114,87,516
15,0.838,0.132,87,516
15.5,0.769,0.13,87,516
16,0.7,0.092,87,516
16.5,0.531,0.076,87,516
17,0.256,0.076,87,516
17.5,0.1,1.053,87,516
18,0.088,0.81,87,516
18.5,0.05,0.108,87,516
19,0.006,0.103,87,516
19.5,0,0.09,87,516
20,0,0.135,87,516
20.5,0,0.133,87,516
21,0,0.127,87,516
21.5,0,0.12,87,516
22,0,0.498,87,516
22.5,0,0.368,87,516
23,0,0.052,87,516
23.5,0,0.076,87,516
