T,genP,demP,H,B
0,0,0.072,74,481
0.5,0,0.061,74,481
1,0,0.047,74,481
1.5,0,0.03,74,481
2,0,0.031,74,481
2.5,0,0.074,74,481
3,0,0.085,74,481
3.5,0,0.142,74,481
4,0,0.221,74,481
4.5,0,0.169,74,481
5,0,0.172,74,481
5.5,0,0.168,74,481
6,0.019,0.168,74,481
6.5,0.081,0.161,74,481
7,0.175,0.228,74,481
7.5,0.275,0.167,74,481
8,0.369,0.218,74,481
8.5,0.475,1.685,74,481
9,0.881,1.504,74,481
9.5,1.144,1.624,74,481
10,1.125,0.843,74,481
10.5,0.663,0.94,74,481
11,0.85,0.142,74,481
11.5,1.206,0.059,74,481
12,1.344,0.071,74,481
12.5,1.106,0.035,74,481
13,1.131,0.026,74,481
13.5,1.713,0.2,74,481
14,1.438,0.191,74,481
14.5,1.619,0.345,74,481
15,1.531,0.096,74,481
15.5,1.438,0.104,74,481
16,1.306,0.025,74,481
16.5,1.125,0.249,74,481
17,0.919,0.127,74,481
17.5,0.575,0.075,74,481
18,0.156,0.074,74,481
18.5,0.031,0.074,74,481
19,0.006,0.127,74,481
19.5,0,0.196,74,481
20,0,0.213,74,481
20.5,0,0.195,74,481
21,0,0.299,74,481
21.5,0,0.404,74,481
22,0,0.237,74,481
22.5,0,0.15,74,481
23,0,0.076,74,481
23.5,0,0.189,74,481
