T,genP,demP,H,B
0,0,1.369,48,321
0.5,0,0.394,48,321
1,0,0.438,48,321
1.5,0,0.363,48,321
2,0,0.181,48,321
2.5,0,0.169,48,321
3,0,0.169,48,321
3.5,0,0.144,48,321
4,0,0.125,48,321
4.5,0,0.451,48,321
5,0,0.262,48,321
5.5,0,1.244,48,321
6,0.006,0.412,48,321
6.5,0.175,0.156,48,321
7,0.356,0.188,48,321
7.5,0.5,0.206,48,321
8,0.731,0.2,48,321
8.5,0.931,0.206,48,321
9,1,0.338,48,321
9.5,1.038,0.469,48,321
10,0.894,0.538,48,321
10.5,1.081,0.344,48,321
11,1.125,0.919,48,321
11.5,0.769,0.675,48,321
12,0.7,0.188,48,321
12.5,0.65,0.156,48,321
13,0.975,0.131,48,321
13.5,0.931,0.131,48,321
14,0.756,0.175,48,321
14.5,0.481,0.181,48,321
15,0.225,0.375,48,321
15.5,0.138,1.1,48,321
16,0.088,0.369,48,321
16.5,0.05,0.269,48,321
17,0.038,0.556,48,321
17.5,0.019,0.425,48,321
18,0.006,0.225,48,321
18.5,0.006,0.2,48,321
19,0,0.225,48,321
19.5,0,0.269,48,321
20,0,0.244,48,321
20.5,0,0.212,48,321
21,0,0.144,48,321
21.5,0,0.112,48,321
22,0,1.406,48,321
22.5,0,0.988,48,321
23,0,0.375,48,321
23.5,0,0.362,48,321
