T,genP,demP,H,B
0,0,0.185,47,310
0.5,0,0.125,47,310
1,0,0.14,47,310
1.5,0,0.172,47,310
2,0,0.118,47,310
2.5,0,0.14,47,310
3,0,0.159,47,310
3.5,0,0.128,47,310
4,0,0.15,47,310
4.5,0,0.139,47,310
5,0,0.126,47,310
5.5,0,0.158,47,310
6,0,0.148,47,310
6.5,0,0.11,47,310
7,0.013,0.158,47,310
7.5,0.05,0.239,47,310
8,0.094,0.139,47,310
8.5,0.15,0.355,47,310
9,0.213,0.295,47,310
9.5,0.256,0.084,47,310
10,0.306,0.123,47,310
10.5,0.344,0.067,47,310
11,0.369,0.105,47,310
11.5,0.406,0.23,47,310
12,0.375,0.317,47,310
12.5,0.406,0.394,47,310
13,0.419,0.311,47,310
13.5,0.419,0.596,47,310
14,0.419,0.839,47,310
14.5,0.406,0.209,47,310
15,0.381,0.163,47,310
15.5,0.356,0.166,47,310
16,0.325,0.264,47,310
16.5,0.281,0.41,47,310
17,0.238,0.62,47,310
17.5,0.156,0.608,47,310
18,0.088,0.595,47,310
18.5,0.05,0.318,47,310
19,0,0.275,47,310
19.5,0,0.28,47,310
20,0,0.228,47,310
20.5,0,0.422,47,310
21,0,0.353,47,310
21.5,0,0.305,47,310
22,0,0.252,47,310
22.5,0,0.129,47,310
23,0,0.07,47,310
23.5,0,0.082,47,310
