T,genP,demP,H,B
0,0,0.11,40,292
0.5,0,0.08,40,292
1,0,0.102,40,292
1.5,0,0.082,40,292
2,0,0.091,40,292
2.5,0,0.103,40,292
3,0,0.073,40,292
3.5,0,0.118,40,292
4,0,0.06,40,292
4.5,0,0.164,40,292
5,0,0.121,40,292
5.5,0,0.299,40,292
6,0,0.304,40,292
6.5,0.019,0.183,40,292
7,0.019,0.116,40,292
7.5,0.044,0.068,40,292
8,0.088,0.116,40,292
8.5,0.15,0.124,40,292
9,0.213,0.363,40,292
9.5,0.263,0.093,40,292
10,0.2,0.146,40,292
10.5,0.088,0.067,40,292
11,0.15,0.114,40,292
11.5,0.119,0.215,40,292
12,0.356,0.153,40,292
12.5,0.363,0.206,40,292
13,0.375,0.158,40,292
13.5,0.375,0.107,40,292
14,0.369,0.191,40,292
14.5,0.35,0.192,40,292
15,0.325,0.197,40,292
15.5,0.294,0.203,40,292
16,0.244,0.197,40,292
16.5,0.206,0.196,40,292
17,0.063,0.219,40,292
17.5,0,0.169,40,292
18,0.006,0.224,40,292
18.5,0,0.23,40,292
19,0,0.089,40,292
19.5,0,0.124,40,292
20,0,0.092,40,292
20.5,0,0.059,40,292
21,0,0.155,40,292
21.5,0,0.063,40,292
22,0,0.088,40,292
22.5,0,0.125,40,292
23,0,0.123,40,292
23.5,0,0.181,40,292
