T,genP,demP,H,B
0,0,0.138,58,398
0.5,0,0.137,58,398
1,0,0.136,58,398
1.5,0,0.159,58,398
2,0,0.091,58,398
2.5,0,0.994,58,398
3,0,1.665,58,398
3.5,0,0.104,58,398
4,0.006,0.174,58,398
4.5,0,0.093,58,398
5,0,0.118,58,398
5.5,0,0.139,58,398
6,0.006,0.096,58,398
6.5,0.038,0.159,58,398
7,0.094,0.131,58,398
7.5,0.156,0.472,58,398
8,0.213,0.511,58,398
8.5,0.269,0.544,58,398
9,0.313,1.279,58,398
9.5,0.35,1.185,58,398
10,0.381,1.755,58,398
10.5,0.406,1.051,58,398
11,0.419,0.781,58,398
11.5,0.3,0.255,58,398
12,0.288,0.242,58,398
12.5,0.381,0.226,58,398
13,0.45,0.268,58,398
13.5,0.425,0.237,58,398
14,0.413,0.282,58,398
14.5,0.394,0.252,58,398
15,0.344,0.277,58,398
15.5,0.331,1.883,58,398
16,0.244,1.345,58,398
16.5,0.219,0.212,58,398
17,0.131,0.714,58,398
17.5,0.1,0.688,58,398
18,0.038,0.803,58,398
18.5,0.006,0.692,58,398
19,0,0.64,58,398
19.5,0,0.619,58,398
20,0,0.347,58,398
20.5,0,0.588,58,398
21,0,0.433,58,398
21.5,0,0.436,58,398
22,0,0.283,58,398
22.5,0,0.193,58,398
23,0,0.128,58,398
23.5,0,0.137,58,398
