T,genP,demP,H,B
0,0,0.475,100,540
0.5,0,0.394,100,540
1,0,0.069,100,540
1.5,0,0.163,100,540
2,0,0.125,100,540
2.5,0,0.075,100,540
3,0,0.1,100,540
3.5,0,0.069,100,540
4,0,0.075,100,540
4.5,0,0.094,100,540
5,0.006,0.063,100,540
5.5,0,0.1,100,540
6,0.006,0.063,100,540
6.5,0.025,0.069,100,540
7,0.05,0.1,100,540
7.5,0.156,0.069,100,540
8,0.225,0.2,100,540
8.5,0.294,0.094,100,540
9,0.425,0.206,100,540
9.5,0.525,0.3,100,540
10,0.531,0.444,100,540
10.5,0.506,0.744,100,540
11,0.625,0.188,100,540
11.5,0.306,0.238,100,540
12,0.419,0.313,100,540
12.5,0.45,1.125,100,540
13,0.613,0.663,100,540
13.5,0.631,0.994,100,540
14,0.506,0.75,100,540
14.5,0.544,0.575,100,540
15,0.556,0.894,100,540
15.5,0.475,0.369,100,540
16,0.456,0.3,100,540
16.5,0.338,0.938,100,540
17,0.288,0.319,100,540
17.5,0.194,0.225,100,540
18,0.025,0.169,100,540
18.5,0.013,0.188,100,540
19,0.006,0.313,100,540
19.5,0,0.244,100,540
20,0,0.381,100,540
20.5,0,0.325,100,540
21,0,0.256,100,540
21.5,0,0.413,100,540
22,0,0.256,100,540
22.5,0,0.125,100,540
23,0,0.081,100,540
23.5,0,0.119,100,540
