T,genP,demP,H,B
0,0,0.138,76,484
0.5,0,0.075,76,484
1,0,0.113,76,484
1.5,0,0.075,76,484
2,0,0.144,76,484
2.5,0,0.075,76,484
3,0,0.131,76,484
3.5,0,0.075,76,484
4,0,0.125,76,484
4.5,0,0.081,76,484
5,0,0.119,76,484
5.5,0,0.069,76,484
6,0.006,0.113,76,484
6.5,0.019,0.094,76,484
7,0.019,0.081,76,484
7.5,0.025,0.144,76,484
8,0.025,0.125,76,484
8.5,0.044,0.131,76,484
9,0.163,0.125,76,484
9.5,0.206,0.213,76,484
10,0.313,0.238,76,484
10.5,0.381,0.169,76,484
11,0.475,0.113,76,484
11.5,0.325,0.138,76,484
12,0.406,0.075,76,484
12.5,0.463,0.125,76,484
13,0.55,0.056,76,484
13.5,0.6,0.138,76,484
14,0.606,0.063,76,484
14.5,0.606,0.138,76,484
15,0.6,0.063,76,484
15.5,0.588,0.119,76,484
16,0.538,0.088,76,484
16.5,0.444,0.1,76,484
17,0.344,0.113,76,484
17.5,0.038,0.081,76,484
18,0.031,0.119,76,484
18.5,0.019,0.213,76,484
19,0.006,0.344,76,484
19.5,0,0.338,76,484
20,0,0.888,76,484
20.5,0,0.306,76,484
21,0,0.331,76,484
21.5,0,0.225,76,484
22,0,0.3,76,484
22.5,0,0.138,76,484
23,0,0.156,76,484
23.5,0,0.088,76,484
