T,genP,demP,H,B
0,0,0.186,60,416
0.5,0,0.182,60,416
1,0,0.18,60,416
1.5,0,0.181,60,416
2,0,0.182,60,416
2.5,0,0.19,60,416
3,0,0.185,60,416
3.5,0,0.188,60,416
4,0,0.184,60,416
4.5,0,0.183,60,416
5,0,0.189,60,416
5.5,0,0.168,60,416
6,0,0.215,60,416
6.5,0.031,0.262,60,416
7,0.125,0.446,60,416
7.5,0.2,0.643,60,416
8,0.281,0.237,60,416
8.5,0.369,0.184,60,416
9,0.425,0.251,60,416
9.5,0.488,0.187,60,416
10,0.544,0.183,60,416
10.5,0.494,0.184,60,416
11,0.556,0.183,60,416
11.5,0.569,0.182,60,416
12,0.531,0.235,60,416
12.5,0.513,0.165,60,416
13,0.525,0.372,60,416
13.5,0.519,0.241,60,416
14,0.55,0.228,60,416
14.5,0.519,0.224,60,416
15,0.475,0.261,60,416
15.5,0.419,0.503,60,416
16,0.325,0.271,60,416
16.5,0.119,0.268,60,416
17,0.019,0.267,60,416
17.5,0.013,0.274,60,416
18,0.006,0.291,60,416
18.5,0.006,0.261,60,416
19,0,0.323,60,416
19.5,0,0.511,60,416
20,0,0.389,60,416
20.5,0,0.411,60,416
21,0,0.387,60,416
21.5,0,0.327,60,416
22,0,0.401,60,416
22.5,0,0.261,60,416
23,0,0.245,60,416
23.5,0,0.227,60,416
