T,genP,demP,H,B
0,0,0.063,57,390
0.5,0,0.063,57,390
1,0,0.063,57,390
1.5,0,0.075,57,390
2,0,0.063,57,390
2.5,0,0.075,57,390
3,0,0.063,57,390
3.5,0,0.075,57,390
4,0,0.063,57,390
4.5,0,0.081,57,390
5,0,0.063,57,390
5.5,0,0.075,57,390
6,0,0.063,57,390
6.5,0.019,0.075,57,390
7,0.081,0.175,57,390
7.5,0.181,0.325,57,390
8,0.381,0.15,57,390
8.5,0.494,0.538,57,390
9,0.594,0.413,57,390
9.5,0.681,0.2,57,390
10,0.6,0.175,57,390
10.5,0.794,0.25,57,390
11,0.831,0.125,57,390
11.5,0.819,0.088,57,390
12,0.819,0.088,57,390
12.5,0.85,0.063,57,390
13,0.844,0.063,57,390
13.5,0.838,0.063,57,390
14,0.813,0.075,57,390
14.5,0.769,0.075,57,390
15,0.706,0.075,57,390
15.5,0.625,0.075,57,390
16,0.531,0.113,57,390
16.5,0.419,0.075,57,390
17,0.306,0.063,57,390
17.5,0.169,0.063,57,390
18,0.075,0.2,57,390
18.5,0.038,0.225,57,390
19,0,0.3,57,390
19.5,0,0.238,57,390
20,0,0.188,57,390
20.5,0,0.175,57,390
21,0,0.138,57,390
21.5,0,0.063,57,390
22,0.006,0.075,57,390
22.5,0,0.063,57,390
23,0,0.075,57,390
23.5,0,0.075,57,390
