T,genP,demP,H,B
0,0,0.151,43,305
0.5,0,0.05,43,305
1,0,0.119,43,305
1.5,0,0.094,43,305
2,0,0.079,43,305
2.5,0,0.109,43,305
3,0,0.092,43,305
3.5,0,0.073,43,305
4,0,0.109,43,305
4.5,0,0.096,43,305
5,0,0.052,43,305
5.5,0,0.138,43,305
6,0,0.055,43,305
6.5,0.019,0.087,43,305
7,0.138,0.315,43,305
7.5,0.294,0.228,43,305
8,0.338,0.149,43,305
8.5,0.413,0.263,43,305
9,0.463,0.064,43,305
9.5,0.519,0.161,43,305
10,0.5,0.302,43,305
10.5,0.256,0.341,43,305
11,0.356,0.228,43,305
11.5,0.488,0.137,43,305
12,0.469,0.069,43,305
12.5,0.394,0.183,43,305
13,0.538,0.186,43,305
13.5,0.563,0.135,43,305
14,0.538,0.139,43,305
14.5,0.5,0.096,43,305
15,0.444,0.139,43,305
15.5,0.394,0.121,43,305
16,0.163,0.087,43,305
16.5,0.044,0.341,43,305
17,0.025,0.129,43,305
17.5,0.019,0.107,43,305
18,0.019,0.164,43,305
18.5,0.013,0.088,43,305
19,0.006,0.237,43,305
19.5,0,0.247,43,305
20,0,0.149,43,305
20.5,0,0.239,43,305
21,0,0.142,43,305
21.5,0,0.049,43,305
22,0,0.145,43,305
22.5,0,0.076,43,305
23,0,0.087,43,305
23.5,0,0.117,43,305
