T,genP,demP,H,B
0,0,0.106,28,216
0.5,0,0.094,28,216
1,0,0.125,28,216
1.5,0,0.106,28,216
2,0,0.094,28,216
2.5,0,0.125,28,216
3,0,0.119,28,216
3.5,0,0.088,28,216
4,0,0.106,28,216
4.5,0,0.125,28,216
5,0,0.094,28,216
5.5,0,0.219,28,216
6,0,0.156,28,216
6.5,0.006,0.225,28,216
7,0.019,0.256,28,216
7.5,0.063,0.213,28,216
8,0.125,0.175,28,216
8.5,0.194,0.181,28,216
9,0.25,0.213,28,216
9.5,0.294,0.438,28,216
10,0.344,0.231,28,216
10.5,0.375,0.288,28,216
11,0.4,0.206,28,216
11.5,0.263,0.213,28,216
12,0.263,0.344,28,216
12.5,0.338,0.219,28,216
13,0.4,0.231,28,216
13.5,0.369,0.3,28,216
14,0.338,0.181,28,216
14.5,0.288,0.138,28,216
15,0.238,0.244,28,216
15.5,0.194,0.225,28,216
16,0.119,0.206,28,216
16.5,0.081,0.263,28,216
17,0.038,0.238,28,216
17.5,0.025,0.219,28,216
18,0.013,0.256,28,216
18.5,0.006,0.4,28,216
19,0,0.287,28,216
19.5,0,0.325,28,216
20,0,0.3,28,216
20.5,0,0.169,28,216
21,0,0.156,28,216
21.5,0,0.138,28,216
22,0,0.088,28,216
22.5,0,0.1,28,216
23,0,0.144,28,216
23.5,0,0.094,28,216
