T,genP,demP,H,B
0,0,0.229,31,224
0.5,0,0.307,31,224
1,0,0.215,31,224
1.5,0,0.259,31,224
2,0,0.199,31,224
2.5,0,0.353,31,224
3,0,0.277,31,224
3.5,0,0.252,31,224
4,0,0.239,31,224
4.5,0,0.209,31,224
5,0,0.237,31,224
5.5,0,0.248,31,224
6,0,0.421,31,224
6.5,0.018,0.388,31,224
7,0.056,0.419,31,224
7.5,0.118,0.318,31,224
8,0.204,0.362,31,224
8.5,0.286,0.304,31,224
9,0.349,0.346,31,224
9.5,0.395,0.38,31,224
10,0.466,0.284,31,224
10.5,0.535,0.351,31,224
11,0.568,0.243,31,224
11.5,0.527,0.291,31,224
12,0.598,0.245,31,224
12.5,0.414,0.303,31,224
13,0.555,0.278,31,224
13.5,0.594,0.246,31,224
14,0.58,0.243,31,224
14.5,0.55,0.329,31,224
15,0.511,0.413,31,224
15.5,0.46,0.4,31,224
16,0.369,0.305,31,224
16.5,0.276,0.267,31,224
17,0.202,0.274,31,224
17.5,0.138,0.29,31,224
18,0.035,0.319,31,224
18.5,0.012,0.302,31,224
19,0.002,0.311,31,224
19.5,0,0.432,31,224
20,0,0.402,31,224
20.5,0,0.418,31,224
21,0,0.539,31,224
21.5,0,0.35,31,224
22,0,0.387,31,224
22.5,0,0.33,31,224
23,0,0.327,31,224
23.5,0,0.298,31,224
