T,genP,demP,H,B
0,0,0.389,69,459
0.5,0,0.406,69,459
1,0,0.428,69,459
1.5,0,0.397,69,459
2,0,0.323,69,459
2.5,0,0.359,69,459
3,0,0.391,69,459
3.5,0,0.367,69,459
4,0,0.386,69,459
4.5,0,0.388,69,459
5,0,0.439,69,459
5.5,0,0.398,69,459
6,0.006,0.384,69,459
6.5,0.019,0.417,69,459
7,0.163,0.623,69,459
7.5,0.306,0.555,69,459
8,0.438,0.555,69,459
8.5,0.494,0.572,69,459
9,0.6,0.293,69,459
9.5,0.675,0.234,69,459
10,0.738,0.209,69,459
10.5,0.763,0.174,69,459
11,0.669,0.3,69,459
11.5,0.544,0.656,69,459
12,0.481,0.295,69,459
12.5,0.738,0.228,69,459
13,0.8,0.414,69,459
13.5,0.775,0.422,69,459
14,0.738,0.546,69,459
14.5,0.675,0.412,69,459
15,0.481,0.433,69,459
15.5,0.55,0.431,69,459
16,0.456,0.353,69,459
16.5,0.231,0.413,69,459
17,0.1,1.314,69,459
17.5,0.069,1.105,69,459
18,0.044,1.199,69,459
18.5,0.006,1.049,69,459
19,0.006,0.615,69,459
19.5,0,0.747,69,459
20,0,0.673,69,459
20.5,0,0.492,69,459
21,0,0.403,69,459
21.5,0,0.422,69,459
22,0,0.429,69,459
22.5,0,0.418,69,459
23,0,0.329,69,459
23.5,0,0.392,69,459
