T,genP,demP,H,B
0,0,0.025,72,476
0.5,0,0.038,72,476
1,0,0.031,72,476
1.5,0,0.475,72,476
2,0,0.025,72,476
2.5,0,0.038,72,476
3,0,0.031,72,476
3.5,0,0.125,72,476
4,0,0.056,72,476
4.5,0,0.038,72,476
5,0,0.025,72,476
5.5,0,0.05,72,476
6,0.006,0.019,72,476
6.5,0.006,0.513,72,476
7,0.013,0.156,72,476
7.5,0.05,0.531,72,476
8,0.181,0.038,72,476
8.5,0.263,0.05,72,476
9,0.306,0.019,72,476
9.5,0.338,0.044,72,476
10,0.363,0.019,72,476
10.5,0.388,0.044,72,476
11,0.4,0.156,72,476
11.5,0.363,0.113,72,476
12,0.238,0.188,72,476
12.5,0.325,0.088,72,476
13,0.388,0.606,72,476
13.5,0.375,0.094,72,476
14,0.35,0.1,72,476
14.5,0.313,0.063,72,476
15,0.256,0.038,72,476
15.5,0.206,0.106,72,476
16,0.113,0.119,72,476
16.5,0.125,0.106,72,476
17,0.063,0.125,72,476
17.5,0.056,0.106,72,476
18,0.019,0.144,72,476
18.5,0.006,0.238,72,476
19,0,0.319,72,476
19.5,0,0.313,72,476
20,0,0.094,72,476
20.5,0,0.163,72,476
21,0,0.144,72,476
21.5,0,0.15,72,476
22,0,0.488,72,476
22.5,0,0.038,72,476
23,0,0.031,72,476
23.5,0,0.044,72,476
