T,genP,demP,H,B
0,0,0.076,77,489
0.5,0,0.414,77,489
1,0,0.084,77,489
1.5,0,0.054,77,489
2,0,0.431,77,489
2.5,0,0.171,77,489
3,0,0.122,77,489
3.5,0,0.279,77,489
4,0,0.223,77,489
4.5,0,0.092,77,489
5,0,0.213,77,489
5.5,0,0.285,77,489
6,0,0.077,77,489
6.5,0.006,0.201,77,489
7,0.069,0.278,77,489
7.5,0.113,0.237,77,489
8,0.213,0.201,77,489
8.5,0.256,0.491,77,489
9,0.3,0.274,77,489
9.5,0.169,0.371,77,489
10,0.344,0.339,77,489
10.5,0.325,0.164,77,489
11,0.281,0.157,77,489
11.5,0.156,0.352,77,489
12,0.263,0.078,77,489
12.5,0.313,0.072,77,489
13,0.35,0.053,77,489
13.5,0.388,0.074,77,489
14,0.406,0.084,77,489
14.5,0.381,0.412,77,489
15,0.344,0.068,77,489
15.5,0.3,0.068,77,489
16,0.256,0.07,77,489
16.5,0.2,0.063,77,489
17,0.144,0.058,77,489
17.5,0.069,0.403,77,489
18,0.038,0.154,77,489
18.5,0.013,0.094,77,489
19,0,0.083,77,489
19.5,0,0.364,77,489
20,0.006,0.446,77,489
20.5,0,0.103,77,489
21,0,0.124,77,489
21.5,0.006,0.135,77,489
22,0,0.134,77,489
22.5,0,0.432,77,489
23,0,0.092,77,489
23.5,0,0.111,77,489
