T,genP,demP,H,B
0,0,0.139,67,444
0.5,0,0.218,67,444
1,0,0.204,67,444
1.5,0,0.247,67,444
2,0,0.086,67,444
2.5,0,0.094,67,444
3,0,0.118,67,444
3.5,0,0.136,67,444
4,0,0.195,67,444
4.5,0,0.223,67,444
5,0,0.226,67,444
5.5,0,0.097,67,444
6,0.019,0.079,67,444
6.5,0.1,0.127,67,444
7,0.25,0.127,67,444
7.5,0.438,0.211,67,444
8,0.6,0.191,67,444
8.5,0.756,0.255,67,444
9,0.906,0.151,67,444
9.5,1.006,0.095,67,444
10,0.956,0.101,67,444
10.5,1.281,0.143,67,444
11,0.65,0.166,67,444
11.5,0.669,0.21,67,444
12,0.781,0.238,67,444
12.5,1.156,0.227,67,444
13,1.131,0.151,67,444
13.5,1.256,0.198,67,444
14,1.138,0.168,67,444
14.5,1.069,0.192,67,444
15,0.969,0.307,67,444
15.5,0.819,0.502,67,444
16,0.625,0.549,67,444
16.5,0.388,0.266,67,444
17,0.356,0.162,67,444
17.5,0.169,0.135,67,444
18,0.075,0.167,67,444
18.5,0.025,0.62,67,444
19,0,0.461,67,444
19.5,0,0.446,67,444
20,0,0.472,67,444
20.5,0,0.248,67,444
21,0,0.437,67,444
21.5,0,0.274,67,444
22,0,0.693,67,444
22.5,0,0.259,67,444
23,0,0.255,67,444
23.5,0,0.193,67,444
