T,genP,demP,H,B
0,0,0.068,30,221
0.5,0,0.025,30,221
1,0,0.064,30,221
1.5,0,0.026,30,221
2,0,0.066,30,221
2.5,0,0.026,30,221
3,0,0.065,30,221
3.5,0,0.026,30,221
4,0,0.066,30,221
4.5,0,0.026,30,221
5,0,0.068,30,221
5.5,0,0.026,30,221
6,0,0.067,30,221
6.5,0.013,0.026,30,221
7,0.05,0.068,30,221
7.5,0.1,0.026,30,221
8,0.169,0.235,30,221
8.5,0.206,0.118,30,221
9,0.275,0.164,30,221
9.5,0.2,0.059,30,221
10,0.263,0.174,30,221
10.5,0.325,0.032,30,221
11,0.338,0.06,30,221
11.5,0.288,0.24,30,221
12,0.275,0.099,30,221
12.5,0.406,0.064,30,221
13,0.338,0.049,30,221
13.5,0.4,0.047,30,221
14,0.419,0.097,30,221
14.5,0.369,0.12,30,221
15,0.344,0.11,30,221
15.5,0.281,0.25,30,221
16,0.213,0.111,30,221
16.5,0.169,0.123,30,221
17,0.144,0.111,30,221
17.5,0.1,0.358,30,221
18,0.075,0.199,30,221
18.5,0.013,0.193,30,221
19,0,0.082,30,221
19.5,0,0.196,30,221
20,0,0.243,30,221
20.5,0,0.311,30,221
21,0,0.359,30,221
21.5,0,0.171,30,221
22,0,0.222,30,221
22.5,0,0.276,30,221
23,0,0.113,30,221
23.5,0,0.066,30,221
