T,genP,demP,H,B
0,0,0.15,79,495
0.5,0,0.175,79,495
1,0,0.15,79,495
1.5,0.006,0.156,79,495
2,0,0.156,79,495
2.5,0,0.156,79,495
3,0,0.138,79,495
3.5,0,0.094,79,495
4,0,0.094,79,495
4.5,0,0.113,79,495
5,0,0.081,79,495
5.5,0,0.094,79,495
6,0.019,0.094,79,495
6.5,0.056,0.106,79,495
7,0.138,0.088,79,495
7.5,0.2,0.106,79,495
8,0.244,0.425,79,495
8.5,0.3,0.588,79,495
9,0.344,0.225,79,495
9.5,0.388,0.281,79,495
10,0.344,0.225,79,495
10.5,0.175,0.175,79,495
11,0.188,0.806,79,495
11.5,0.225,0.344,79,495
12,0.331,0.263,79,495
12.5,0.369,0.294,79,495
13,0.413,0.469,79,495
13.5,0.463,0.331,79,495
14,0.438,0.45,79,495
14.5,0.4,0.425,79,495
15,0.363,0.363,79,495
15.5,0.306,0.319,79,495
16,0.244,0.231,79,495
16.5,0.131,0.188,79,495
17,0.031,0.15,79,495
17.5,0.019,0.169,79,495
18,0.013,1.263,79,495
18.5,0.013,0.244,79,495
19,0.006,0.35,79,495
19.5,0,0.388,79,495
20,0,0.356,79,495
20.5,0,0.363,79,495
21,0,0.45,79,495
21.5,0,0.431,79,495
22,0,0.2,79,495
22.5,0,0.131,79,495
23,0,0.394,79,495
23.5,0,0.481,79,495
