T,genP,demP,H,B
0,0,0.367,35,260
0.5,0,0.266,35,260
1,0,0.242,35,260
1.5,0,0.261,35,260
2,0,0.268,35,260
2.5,0,0.774,35,260
3,0,0.787,35,260
3.5,0,0.777,35,260
4,0,0.815,35,260
4.5,0,0.767,35,260
5,0,0.755,35,260
5.5,0,0.786,35,260
6,0.006,0.804,35,260
6.5,0.019,0.776,35,260
7,0.044,0.806,35,260
7.5,0.131,0.835,35,260
8,0.294,0.814,35,260
8.5,0.375,0.885,35,260
9,0.463,0.844,35,260
9.5,0.381,1.088,35,260
10,0.744,1.137,35,260
10.5,0.463,1.1,35,260
11,0.406,0.939,35,260
11.5,0.569,0.982,35,260
12,0.694,1.016,35,260
12.5,0.731,1.107,35,260
13,0.813,1.069,35,260
13.5,0.813,1.087,35,260
14,0.744,1.028,35,260
14.5,0.888,0.998,35,260
15,0.838,0.994,35,260
15.5,0.781,1.036,35,260
16,0.694,0.556,35,260
16.5,0.606,0.51,35,260
17,0.513,0.452,35,260
17.5,0.363,0.56,35,260
18,0.188,0.488,35,260
18.5,0.081,0.524,35,260
19,0.006,2.019,35,260
19.5,0,0.712,35,260
20,0,0.723,35,260
20.5,0,0.758,35,260
21,0,0.736,35,260
21.5,0,0.657,35,260
22,0,0.514,35,260
22.5,0,0.381,35,260
23,0,0.34,35,260
23.5,0,0.29,35,260
