T,genP,demP,H,B
0,0,0.099,46,308
0.5,0,0.158,46,308
1,0,0.112,46,308
1.5,0,0.1,46,308
2,0,0.648,46,308
2.5,0,0.691,46,308
3,0,0.659,46,308
3.5,0,0.753,46,308
4,0,0.66,46,308
4.5,0,0.679,46,308
5,0,0.716,46,308
5.5,0,0.675,46,308
6,0.006,0.518,46,308
6.5,0.031,0.208,46,308
7,0.056,0.191,46,308
7.5,0.1,0.226,46,308
8,0.138,0.62,46,308
8.5,0.206,0.278,46,308
9,0.413,0.362,46,308
9.5,0.438,0.427,46,308
10,0.45,0.811,46,308
10.5,0.431,0.897,46,308
11,0.244,0.942,46,308
11.5,0.325,0.271,46,308
12,0.306,0.182,46,308
12.5,0.294,0.102,46,308
13,0.444,0.116,46,308
13.5,0.331,0.165,46,308
14,0.356,0.102,46,308
14.5,0.3,0.314,46,308
15,0.306,0.751,46,308
15.5,0.225,0.682,46,308
16,0.163,0.707,46,308
16.5,0.088,0.739,46,308
17,0.031,0.724,46,308
17.5,0.019,0.837,46,308
18,0.013,0.91,46,308
18.5,0.006,1.212,46,308
19,0,0.531,46,308
19.5,0,0.33,46,308
20,0,0.296,46,308
20.5,0,0.252,46,308
21,0,0.167,46,308
21.5,0.006,0.166,46,308
22,0,0.14,46,308
22.5,0,0.096,46,308
23,0,0.14,46,308
23.5,0,0.225,46,308
