T,genP,demP,H,B
0,0,0.168,24,193
0.5,0,0.173,24,193
1,0,0.177,24,193
1.5,0,0.178,24,193
2,0,0.173,24,193
2.5,0,0.184,24,193
3,0,0.196,24,193
3.5,0,0.198,24,193
4,0,0.19,24,193
4.5,0,0.307,24,193
5,0,0.33,24,193
5.5,0,0.381,24,193
6,0.038,0.371,24,193
6.5,0.238,0.22,24,193
7,0.388,0.212,24,193
7.5,0.675,0.34,24,193
8,0.844,0.269,24,193
8.5,1.113,0.234,24,193
9,1.394,0.878,24,193
9.5,1.675,0.57,24,193
10,1.669,0.211,24,193
10.5,2.138,0.173,24,193
11,2.156,0.182,24,193
11.5,1.913,0.177,24,193
12,1.225,0.227,24,193
12.5,1.8,0.424,24,193
13,2.263,0.26,24,193
13.5,2.269,0.181,24,193
14,2.219,0.183,24,193
14.5,2.031,0.178,24,193
15,1.938,0.882,24,193
15.5,1.806,1.639,24,193
16,1.6,1.066,24,193
16.5,1.025,1.475,24,193
17,0.875,1.668,24,193
17.5,0.619,1.011,24,193
18,0.369,0.66,24,193
18.5,0.15,0.361,24,193
19,0.006,0.579,24,193
19.5,0,0.947,24,193
20,0,0.84,24,193
20.5,0,0.751,24,193
21,0,0.521,24,193
21.5,0,0.666,24,193
22,0,0.497,24,193
22.5,0,1.099,24,193
23,0,1.139,24,193
23.5,0,0.473,24,193
