T,genP,demP,H,B
0,0,0.075,66,441
0.5,0,0.063,66,441
1,0,0.075,66,441
1.5,0,0.063,66,441
2,0,0.075,66,441
2.5,0,0.075,66,441
3,0,0.075,66,441
3.5,0,0.075,66,441
4,0,0.063,66,441
4.5,0,0.075,66,441
5,0,0.063,66,441
5.5,0,0.075,66,441
6,0,0.063,66,441
6.5,0.013,0.075,66,441
7,0.013,0.063,66,441
7.5,0.025,0.075,66,441
8,0.05,0.075,66,441
8.5,0.113,0.075,66,441
9,0.2,0.075,66,441
9.5,0.294,0.063,66,441
10,0.381,0.075,66,441
10.5,0.419,0.063,66,441
11,0.225,0.075,66,441
11.5,0.275,0.063,66,441
12,0.381,0.075,66,441
12.5,0.588,0.163,66,441
13,0.494,0.213,66,441
13.5,0.606,0.213,66,441
14,0.6,0.163,66,441
14.5,0.563,0.188,66,441
15,0.569,0.088,66,441
15.5,0.55,0.075,66,441
16,0.4,0.075,66,441
16.5,0.369,0.063,66,441
17,0.213,0.088,66,441
17.5,0.163,0.325,66,441
18,0.044,0.275,66,441
18.5,0.025,0.375,66,441
19,0.006,0.313,66,441
19.5,0,0.238,66,441
20,0,0.25,66,441
20.5,0,0.263,66,441
21,0,0.25,66,441
21.5,0,0.25,66,441
22,0,0.213,66,441
22.5,0,0.113,66,441
23,0,0.088,66,441
23.5,0,0.075,66,441
