T,genP,demP,H,B
0,0,0.111,44,306
0.5,0,0.093,44,306
1,0,0.122,44,306
1.5,0,0.128,44,306
2,0,0.166,44,306
2.5,0,0.179,44,306
3,0,0.129,44,306
3.5,0,0.118,44,306
4,0,0.08,44,306
4.5,0,0.123,44,306
5,0,0.077,44,306
5.5,0,0.121,44,306
6,0,0.076,44,306
6.5,0.006,0.12,44,306
7,0.025,0.099,44,306
7.5,0.025,0.152,44,306
8,0.031,0.17,44,306
8.5,0.088,0.18,44,306
9,0.15,0.122,44,306
9.5,0.131,0.105,44,306
10,0.206,0.096,44,306
10.5,0.175,0.157,44,306
11,0.181,0.039,44,306
11.5,0.206,0.13,44,306
12,0.225,0.106,44,306
12.5,0.213,0.099,44,306
13,0.213,0.137,44,306
13.5,0.306,0.13,44,306
14,0.325,0.173,44,306
14.5,0.344,0.171,44,306
15,0.369,0.096,44,306
15.5,0.375,0.116,44,306
16,0.356,0.13,44,306
16.5,0.213,0.088,44,306
17,0.219,0.122,44,306
17.5,0.1,0.148,44,306
18,0.038,0.06,44,306
18.5,0.025,0.12,44,306
19,0,0.129,44,306
19.5,0,0.13,44,306
20,0,0.175,44,306
20.5,0,0.174,44,306
21,0,0.092,44,306
21.5,0,0.121,44,306
22,0,0.13,44,306
22.5,0,0.081,44,306
23,0,0.132,44,306
23.5,0,0.121,44,306
