T,genP,demP,H,B
0,0,0.377,54,381
0.5,0,0.344,54,381
1,0,0.3,54,381
1.5,0,0.302,54,381
2,0,0.387,54,381
2.5,0,0.294,54,381
3,0,0.297,54,381
3.5,0,0.358,54,381
4,0,0.305,54,381
4.5,0,0.304,54,381
5,0,0.364,54,381
5.5,0,0.298,54,381
6,0.006,0.323,54,381
6.5,0.131,0.35,54,381
7,0.313,0.634,54,381
7.5,0.5,0.584,54,381
8,0.594,0.818,54,381
8.5,0.663,0.467,54,381
9,0.694,0.343,54,381
9.5,0.756,0.44,54,381
10,0.794,0.398,54,381
10.5,0.813,0.463,54,381
11,0.819,0.326,54,381
11.5,0.713,0.162,54,381
12,0.494,0.185,54,381
12.5,0.656,0.243,54,381
13,0.763,0.199,54,381
13.5,0.713,0.326,54,381
14,0.675,0.24,54,381
14.5,0.594,0.162,54,381
15,0.506,0.159,54,381
15.5,0.413,0.213,54,381
16,0.294,0.139,54,381
16.5,0.181,0.42,54,381
17,0.069,0.297,54,381
17.5,0.025,0.374,54,381
18,0.019,0.456,54,381
18.5,0.013,0.359,54,381
19,0,0.218,54,381
19.5,0,0.14,54,381
20,0,0.161,54,381
20.5,0,0.198,54,381
21,0,0.382,54,381
21.5,0,0.435,54,381
22,0,0.286,54,381
22.5,0,0.253,54,381
23,0,0.291,54,381
23.5,0,0.158,54,381
