T,genP,demP,H,B
0,0,0.372,49,328
0.5,0,0.37,49,328
1,0,0.24,49,328
1.5,0,0.167,49,328
2,0,0.134,49,328
2.5,0,0.12,49,328
3,0,0.147,49,328
3.5,0,0.186,49,328
4,0,0.234,49,328
4.5,0,0.166,49,328
5,0,0.24,49,328
5.5,0,0.15,49,328
6,0.006,0.16,49,328
6.5,0.019,0.127,49,328
7,0.031,0.159,49,328
7.5,0.206,0.17,49,328
8,0.238,0.207,49,328
8.5,0.313,0.206,49,328
9,0.35,0.335,49,328
9.5,0.381,0.156,49,328
10,0.413,0.184,49,328
10.5,0.425,0.749,49,328
11,0.431,0.227,49,328
11.5,0.344,0.306,49,328
12,0.344,0.278,49,328
12.5,0.394,0.325,49,328
13,0.406,0.64,49,328
13.5,0.388,0.476,49,328
14,0.363,0.303,49,328
14.5,0.325,0.308,49,328
15,0.281,0.232,49,328
15.5,0.238,0.227,49,328
16,0.181,0.256,49,328
16.5,0.125,0.259,49,328
17,0.063,0.271,49,328
17.5,0.019,0.333,49,328
18,0.013,0.295,49,328
18.5,0.006,0.404,49,328
19,0,0.259,49,328
19.5,0,0.386,49,328
20,0,0.383,49,328
20.5,0,0.353,49,328
21,0,0.292,49,328
21.5,0,0.237,49,328
22,0,0.191,49,328
22.5,0,0.22,49,328
23,0,0.229,49,328
23.5,0,0.188,49,328
