T,genP,demP,H,B
0,0,0.383,84,507
0.5,0,0.262,84,507
1,0,0.26,84,507
1.5,0,0.256,84,507
2,0,0.276,84,507
2.5,0,0.289,84,507
3,0,0.265,84,507
3.5,0,0.293,84,507
4,0,0.286,84,507
4.5,0,0.253,84,507
5,0,0.241,84,507
5.5,0.006,0.207,84,507
6,0,0.181,84,507
6.5,0.013,0.265,84,507
7,0.013,1.993,84,507
7.5,0.025,1.279,84,507
8,0.081,0.352,84,507
8.5,0.213,0.43,84,507
9,0.294,0.292,84,507
9.5,0.356,0.428,84,507
10,0.4,0.33,84,507
10.5,0.506,0.381,84,507
11,0.544,0.573,84,507
11.5,0.338,0.528,84,507
12,0.494,0.445,84,507
12.5,0.606,0.446,84,507
13,0.594,0.437,84,507
13.5,0.6,0.708,84,507
14,0.588,0.482,84,507
14.5,0.575,0.526,84,507
15,0.55,0.468,84,507
15.5,0.519,0.471,84,507
16,0.469,0.545,84,507
16.5,0.419,0.509,84,507
17,0.356,0.456,84,507
17.5,0.281,0.565,84,507
18,0.169,0.552,84,507
18.5,0.019,0.5,84,507
19,0,0.45,84,507
19.5,0,0.755,84,507
20,0,0.435,84,507
20.5,0,0.42,84,507
21,0,0.44,84,507
21.5,0,0.431,84,507
22,0,0.426,84,507
22.5,0.006,0.355,84,507
23,0,0.314,84,507
23.5,0,0.296,84,507
