T,genP,demP,H,B
0,0,0.403,70,461
0.5,0,0.309,70,461
1,0.006,0.249,70,461
1.5,0,0.293,70,461
2,0,0.257,70,461
2.5,0,0.247,70,461
3,0,0.295,70,461
3.5,0,0.276,70,461
4,0,0.223,70,461
4.5,0,0.294,70,461
5,0,0.283,70,461
5.5,0,0.239,70,461
6,0,0.382,70,461
6.5,0.019,0.595,70,461
7,0.081,0.361,70,461
7.5,0.231,0.412,70,461
8,0.281,0.482,70,461
8.5,0.319,0.627,70,461
9,0.356,0.509,70,461
9.5,0.381,0.519,70,461
10,0.413,0.622,70,461
10.5,0.425,0.603,70,461
11,0.338,0.334,70,461
11.5,0.306,0.276,70,461
12,0.306,0.266,70,461
12.5,0.388,0.307,70,461
13,0.425,0.275,70,461
13.5,0.313,0.226,70,461
14,0.35,0.346,70,461
14.5,0.331,0.276,70,461
15,0.288,0.265,70,461
15.5,0.225,0.304,70,461
16,0.088,0.321,70,461
16.5,0.019,0.251,70,461
17,0.019,0.283,70,461
17.5,0.025,0.337,70,461
18,0.013,0.379,70,461
18.5,0,1.05,70,461
19,0,1.083,70,461
19.5,0,1.048,70,461
20,0,1.02,70,461
20.5,0,0.702,70,461
21,0.006,0.536,70,461
21.5,0,0.557,70,461
22,0,0.47,70,461
22.5,0,0.269,70,461
23,0,0.346,70,461
23.5,0,0.259,70,461
