T,genP,demP,H,B
0,0,0.037,39,279
0.5,0,0.066,39,279
1,0,0.101,39,279
1.5,0,0.045,39,279
2,0,0.042,39,279
2.5,0,0.048,39,279
3,0,0.11,39,279
3.5,0,0.056,39,279
4,0,0.044,39,279
4.5,0,0.044,39,279
5,0,0.093,39,279
5.5,0,0.076,39,279
6,0,0.139,39,279
6.5,0.013,0.04,39,279
7,0.044,0.058,39,279
7.5,0.106,0.518,39,279
8,0.169,0.471,39,279
8.5,0.225,1.724,39,279
9,0.275,0.568,39,279
9.5,0.225,1.447,39,279
10,0.288,0.323,39,279
10.5,0.3,0.297,39,279
11,0.369,0.298,39,279
11.5,0.325,0.44,39,279
12,0.281,0.5,39,279
12.5,0.406,0.437,39,279
13,0.375,0.425,39,279
13.5,0.45,0.347,39,279
14,0.425,0.493,39,279
14.5,0.406,0.324,39,279
15,0.381,0.312,39,279
15.5,0.331,0.557,39,279
16,0.3,0.595,39,279
16.5,0.256,0.445,39,279
17,0.2,0.318,39,279
17.5,0.144,0.339,39,279
18,0.075,0.366,39,279
18.5,0.019,0.398,39,279
19,0,0.387,39,279
19.5,0,0.477,39,279
20,0,0.554,39,279
20.5,0,0.447,39,279
21,0,0.451,39,279
21.5,0,0.365,39,279
22,0,0.429,39,279
22.5,0,0.13,39,279
23,0,0.083,39,279
23.5,0,0.045,39,279
