T,genP,demP,H,B
0,0,0.275,42,300
0.5,0,0.181,42,300
1,0,0.225,42,300
1.5,0,0.306,42,300
2,0,0.263,42,300
2.5,0,0.156,42,300
3,0,0.181,42,300
3.5,0,0.3,42,300
4,0,0.269,42,300
4.5,0,0.213,42,300
5,0,0.281,42,300
5.5,0,0.275,42,300
6,0.013,0.356,42,300
6.5,0.088,0.369,42,300
7,0.338,0.481,42,300
7.5,0.569,0.344,42,300
8,0.731,0.231,42,300
8.5,0.975,0.463,42,300
9,1.169,0.413,42,300
9.5,1.131,0.269,42,300
10,1.163,0.206,42,300
10.5,1.069,0.35,42,300
11,1.163,0.238,42,300
11.5,0.913,0.25,42,300
12,1.463,0.306,42,300
12.5,1.2,0.481,42,300
13,1.363,0.25,42,300
13.5,1.294,0.269,42,300
14,0.838,0.319,42,300
14.5,1.244,0.294,42,300
15,1.238,0.219,42,300
15.5,0.806,0.263,42,300
16,0.988,0.325,42,300
16.5,0.788,0.338,42,300
17,0.563,0.288,42,300
17.5,0.3,0.55,42,300
18,0.144,0.363,42,300
18.5,0.056,0.431,42,300
19,0.006,0.681,42,300
19.5,0,0.538,42,300
20,0,0.775,42,300
20.5,0,0.519,42,300
21,0,0.431,42,300
21.5,0,0.381,42,300
22,0,0.275,42,300
22.5,0,0.269,42,300
23,0,0.294,42,300
23.5,0,0.256,42,300
