T,genP,demP,H,B
0,0,0.737,89,523
0.5,0,0.716,89,523
1,0,0.729,89,523
1.5,0,0.823,89,523
2,0,0.733,89,523
2.5,0,0.728,89,523
3,0,0.693,89,523
3.5,0,0.725,89,523
4,0,0.695,89,523
4.5,0,0.729,89,523
5,0,0.737,89,523
5.5,0,0.697,89,523
6,0.001,0.733,89,523
6.5,0.01,0.709,89,523
7,0.024,0.455,89,523
7.5,0.045,0.702,89,523
8,0.114,0.564,89,523
8.5,0.181,0.437,89,523
9,0.242,0.46,89,523
9.5,0.302,0.521,89,523
10,0.332,0.201,89,523
10.5,0.374,0.215,89,523
11,0.192,0.621,89,523
11.5,0.257,0.643,89,523
12,0.245,0.697,89,523
12.5,0.19,0.558,89,523
13,0.303,0.546,89,523
13.5,0.301,0.387,89,523
14,0.367,0.336,89,523
14.5,0.301,0.553,89,523
15,0.324,0.537,89,523
15.5,0.272,0.484,89,523
16,0.21,0.526,89,523
16.5,0.133,0.431,89,523
17,0.081,0.164,89,523
17.5,0.034,0.51,89,523
18,0.013,0.407,89,523
18.5,0.007,1.139,89,523
19,0,0.971,89,523
19.5,0,1.644,89,523
20,0,1.512,89,523
20.5,0,1.17,89,523
21,0,1.074,89,523
21.5,0,0.812,89,523
22,0,0.714,89,523
22.5,0,0.773,89,523
23,0,0.754,89,523
23.5,0,0.739,89,523
