T,genP,demP,H,B
0,0,0.263,26,205
0.5,0,0.25,26,205
1,0,0.263,26,205
1.5,0,0.263,26,205
2,0,1.05,26,205
2.5,0,1.888,26,205
3,0,0.138,26,205
3.5,0,0.138,26,205
4,0,0.175,26,205
4.5,0,0.113,26,205
5,0,0.15,26,205
5.5,0,0.175,26,205
6,0,0.131,26,205
6.5,0.006,0.15,26,205
7,0.019,0.138,26,205
7.5,0.025,0.1,26,205
8,0.019,0.15,26,205
8.5,0.038,0.125,26,205
9,0.106,0.188,26,205
9.5,0.163,0.55,26,205
10,0.231,0.2,26,205
10.5,0.281,0.188,26,205
11,0.331,0.275,26,205
11.5,0.363,0.213,26,205
12,0.388,0.263,26,205
12.5,0.4,0.2,26,205
13,0.431,0.15,26,205
13.5,0.431,0.188,26,205
14,0.425,0.163,26,205
14.5,0.425,0.113,26,205
15,0.4,0.213,26,205
15.5,0.406,0.15,26,205
16,0.388,0.138,26,205
16.5,0.344,0.325,26,205
17,0.213,0.163,26,205
17.5,0.106,0.2,26,205
18,0.056,0.188,26,205
18.5,0.025,0.188,26,205
19,0,0.35,26,205
19.5,0,0.225,26,205
20,0,0.275,26,205
20.5,0,0.25,26,205
21,0,0.213,26,205
21.5,0,0.288,26,205
22,0,0.5,26,205
22.5,0,0.513,26,205
23,0,0.3,26,205
23.5,0,0.213,26,205
