T,genP,demP,H,B
0,0,0.113,19,172
0.5,0,0.1,19,172
1,0,0.081,19,172
1.5,0,0.119,19,172
2,0,0.056,19,172
2.5,0,0.125,19,172
3,0,0.1,19,172
3.5,0,0.081,19,172
4,0,0.125,19,172
4.5,0,0.056,19,172
5,0,0.113,19,172
5.5,0,0.1,19,172
6,0,0.081,19,172
6.5,0.013,0.106,19,172
7,0.063,0.081,19,172
7.5,0.131,0.144,19,172
8,0.194,0.206,19,172
8.5,0.244,0.113,19,172
9,0.3,0.544,19,172
9.5,0.319,0.113,19,172
10,0.25,0.2,19,172
10.5,0.275,0.175,19,172
11,0.381,0.225,19,172
11.5,0.319,0.15,19,172
12,0.388,0.131,19,172
12.5,0.4,0.131,19,172
13,0.444,0.15,19,172
13.5,0.425,0.106,19,172
14,0.406,0.131,19,172
14.5,0.381,0.175,19,172
15,0.35,0.1,19,172
15.5,0.313,0.144,19,172
16,0.263,0.081,19,172
16.5,0.2,0.15,19,172
17,0.144,0.163,19,172
17.5,0.088,0.363,19,172
18,0.031,0.325,19,172
18.5,0.013,1.113,19,172
19,0,0.306,19,172
19.5,0,0.2,19,172
20,0,0.225,19,172
20.5,0,0.244,19,172
21,0,0.2,19,172
21.5,0,0.094,19,172
22,0,0.119,19,172
22.5,0,0.1,19,172
23,0,0.081,19,172
23.5,0,0.119,19,172
