T,genP,demP,H,B
0,0,0.031,41,298
0.5,0,0.033,41,298
1,0,0.074,41,298
1.5,0,0.111,41,298
2,0,0.109,41,298
2.5,0,0.112,41,298
3,0,0.055,41,298
3.5,0,0.037,41,298
4,0,0.036,41,298
4.5,0,0.079,41,298
5,0,0.093,41,298
5.5,0,0.11,41,298
6,0,0.111,41,298
6.5,0.006,0.037,41,298
7,0.013,0.03,41,298
7.5,0.025,0.021,41,298
8,0.075,0.284,41,298
8.5,0.113,0.184,41,298
9,0.181,0.215,41,298
9.5,0.169,0.202,41,298
10,0.231,0.144,41,298
10.5,0.288,0.024,41,298
11,0.294,0.074,41,298
11.5,0.288,0.154,41,298
12,0.319,0.154,41,298
12.5,0.35,0.15,41,298
13,0.281,0.13,41,298
13.5,0.363,0.037,41,298
14,0.438,0.032,41,298
14.5,0.394,0.058,41,298
15,0.394,0.111,41,298
15.5,0.369,0.111,41,298
16,0.288,0.227,41,298
16.5,0.288,0.158,41,298
17,0.244,0.124,41,298
17.5,0.169,0.106,41,298
18,0.1,0.105,41,298
18.5,0.031,0.184,41,298
19,0.006,0.187,41,298
19.5,0,0.393,41,298
20,0,0.168,41,298
20.5,0,0.184,41,298
21,0,0.165,41,298
21.5,0,0.173,41,298
22,0,0.089,41,298
22.5,0,0.034,41,298
23,0,0.032,41,298
23.5,0,0.034,41,298
