T,genP,demP,H,B
0,0,0.1,80,497
0.5,0,0.081,80,497
1,0,0.094,80,497
1.5,0,0.094,80,497
2,0,0.094,80,497
2.5,0,0.088,80,497
3,0,0.094,80,497
3.5,0,0.094,80,497
4,0,0.406,80,497
4.5,0,0.281,80,497
5,0,0.094,80,497
5.5,0,0.094,80,497
6,0.006,0.106,80,497
6.5,0.025,0.075,80,497
7,0.088,0.094,80,497
7.5,0.131,0.263,80,497
8,0.225,0.719,80,497
8.5,0.294,0.588,80,497
9,0.344,0.488,80,497
9.5,0.375,1.325,80,497
10,0.363,0.581,80,497
10.5,0.231,0.569,80,497
11,0.206,0.106,80,497
11.5,0.175,0.119,80,497
12,0.288,0.913,80,497
12.5,0.25,0.044,80,497
13,0.388,0.05,80,497
13.5,0.375,0.313,80,497
14,0.363,0.175,80,497
14.5,0.325,1.213,80,497
15,0.281,0.313,80,497
15.5,0.231,0.288,80,497
16,0.175,0.231,80,497
16.5,0.113,0.156,80,497
17,0.056,1.538,80,497
17.5,0.019,0.856,80,497
18,0,1.144,80,497
18.5,0.006,0.563,80,497
19,0.006,0.269,80,497
19.5,0,0.325,80,497
20,0,1.081,80,497
20.5,0,0.363,80,497
21,0,0.4,80,497
21.5,0,0.3,80,497
22,0,1.131,80,497
22.5,0,1.225,80,497
23,0,0.563,80,497
23.5,0,0.044,80,497
