T,genP,demP,H,B
0,0,0.041,81,500
0.5,0,0.036,81,500
1,0.006,0.049,81,500
1.5,0,0.047,81,500
2,0,0.028,81,500
2.5,0,0.05,81,500
3,0,0.055,81,500
3.5,0,0.031,81,500
4,0,0.054,81,500
4.5,0,0.047,81,500
5,0,0.033,81,500
5.5,0,0.222,81,500
6,0,0.024,81,500
6.5,0.019,0.108,81,500
7,0.044,0.163,81,500
7.5,0.119,0.047,81,500
8,0.2,0.05,81,500
8.5,0.294,0.131,81,500
9,0.194,0.16,81,500
9.5,0.25,0.104,81,500
10,0.438,0.199,81,500
10.5,0.338,0.083,81,500
11,0.438,0.086,81,500
11.5,0.263,0.107,81,500
12,0.394,0.048,81,500
12.5,0.55,0.054,81,500
13,0.663,0.054,81,500
13.5,0.675,0.027,81,500
14,0.631,0.055,81,500
14.5,0.594,0.032,81,500
15,0.544,0.048,81,500
15.5,0.494,0.051,81,500
16,0.394,0.028,81,500
16.5,0.325,0.055,81,500
17,0.231,0.03,81,500
17.5,0.131,0.05,81,500
18,0.025,0.051,81,500
18.5,0.006,0.028,81,500
19,0,0.132,81,500
19.5,0,0.181,81,500
20,0,0.398,81,500
20.5,0,0.387,81,500
21,0,0.308,81,500
21.5,0,0.136,81,500
22,0,0.054,81,500
22.5,0,0.027,81,500
23,0,0.056,81,500
23.5,0,0.048,81,500
