T,genP,demP,H,B
0,0,0.065,22,184
0.5,0,0.067,22,184
1,0,0.073,22,184
1.5,0,0.08,22,184
2,0,0.72,22,184
2.5,0,0.096,22,184
3,0,0.07,22,184
3.5,0,0.066,22,184
4,0,0.178,22,184
4.5,0,0.173,22,184
5,0,0.174,22,184
5.5,0,0.082,22,184
6,0,0.081,22,184
6.5,0,0.176,22,184
7,0,0.748,22,184
7.5,0.019,0.125,22,184
8,0.069,0.066,22,184
8.5,0.106,0.069,22,184
9,0.169,0.069,22,184
9.5,0.206,0.071,22,184
10,0.269,0.072,22,184
10.5,0.306,0.181,22,184
11,0.313,0.071,22,184
11.5,0.281,0.08,22,184
12,0.344,0.153,22,184
12.5,0.425,0.155,22,184
13,0.431,0.181,22,184
13.5,0.431,0.086,22,184
14,0.406,0.077,22,184
14.5,0.438,0.788,22,184
15,0.338,0.252,22,184
15.5,0.375,0.195,22,184
16,0.344,0.39,22,184
16.5,0.306,0.724,22,184
17,0.256,0.162,22,184
17.5,0.206,0.219,22,184
18,0.138,0.155,22,184
18.5,0.025,0.175,22,184
19,0,0.184,22,184
19.5,0,0.11,22,184
20,0,0.282,22,184
20.5,0,0.597,22,184
21,0,0.078,22,184
21.5,0,0.079,22,184
22,0,0.075,22,184
22.5,0,0.075,22,184
23,0,0.072,22,184
23.5,0,0.078,22,184
