T,genP,demP,H,B
3,0,0.15,5,89
3.5,0,0.061,5,89
4,0,0.096,5,89
4.5,0,0.136,5,89
5,0,0.172,5,89
5.5,0,0.084,5,89
6,0.006,0.061,5,89
6.5,0.025,0.122,5,89
7,0.075,0.133,5,89
7.5,0.113,0.06,5,89
8,0.175,0.102,5,89
8.5,0.2,0.11,5,89
9,0.256,0.08,5,89
9.5,0.288,0.207,5,89
10,0.331,0.147,5,89
10.5,0.331,0.423,5,89
11,0.275,0.365,5,89
11.5,0.175,0.278,5,89
12,0.275,0.169,5,89
12.5,0.338,0.214,5,89
13,0.363,0.27,5,89
13.5,0.35,0.46,5,89
14,0.338,0.155,5,89
14.5,0.319,0.146,5,89
15,0.169,0.67,5,89
15.5,0.225,0.561,5,89
16,0.2,0.304,5,89
16.5,0.138,0.315,5,89
17,0.094,0.266,5,89
17.5,0.063,0.254,5,89
18,0.031,0.211,5,89
18.5,0,0.278,5,89
19,0,0.337,5,89
19.5,0,0.398,5,89
20,0,0.378,5,89
20.5,0,0.544,5,89
21,0,0.268,5,89
21.5,0,0.212,5,89
22,0,0.314,5,89
22.5,0,0.315,5,89
23,0.006,0.169,5,89
23.5,0,0.151,5,89
0,0,0.212,6,90
0.5,0,0.187,6,90
1,0,0.173,6,90
1.5,0,0.218,6,90
2,0,0.275,6,90
2.5,0,0.35,6,90
3,0,0.295,6,90
3.5,0.006,0.187,6,90
4,0,0.233,6,90
4.5,0,0.232,6,90
5,0,0.182,6,90
5.5,0,0.191,6,90
6,0,0.198,6,90
6.5,0.013,0.452,6,90
7,0.069,0.342,6,90
7.5,0.15,0.292,6,90
8,0.3,0.275,6,90
8.5,0.413,0.224,6,90
9,0.538,0.34,6,90
9.5,0.619,0.184,6,90
10,0.531,0.162,6,90
10.5,0.375,0.228,6,90
11,0.275,0.207,6,90
11.5,0.456,0.205,6,90
12,0.513,0.396,6,90
12.5,0.844,0.305,6,90
13,0.713,0.321,6,90
13.5,0.875,0.316,6,90
14,0.85,0.552,6,90
14.5,0.775,1.126,6,90
15,0.713,0.926,6,90
15.5,0.638,0.514,6,90
16,0.45,0.683,6,90
16.5,0.369,0.299,6,90
17,0.144,0.476,6,90
17.5,0.05,0.915,6,90
18,0.025,0.273,6,90
18.5,0.025,0.366,6,90
19,0,0.286,6,90
19.5,0,0.34,6,90
20,0,0.318,6,90
20.5,0,0.441,6,90
21,0,0.249,6,90
21.5,0.006,0.18,6,90
22,0,0.41,6,90
22.5,0,0.302,6,90
23,0,0.293,6,90
23.5,0,0.246,6,90
0,0,0.06,7,96
0.5,0,0.023,7,96
1,0,0.101,7,96
1.5,0,0.052,7,96
2,0,0.081,7,96
2.5,0,0.059,7,96
3,0,0.045,7,96
3.5,0,0.067,7,96
4,0,0.029,7,96
4.5,0,0.068,7,96
5,0,0.034,7,96
5.5,0,0.06,7,96
6,0,0.058,7,96
6.5,0.019,0.047,7,96
7,0.138,0.22,7,96
7.5,0.344,0.115,7,96
8,0.444,0.197,7,96
8.5,0.588,0.019,7,96
9,0.694,0.059,7,96
9.5,0.781,0.025,7,96
10,0.869,0.055,7,96
10.5,0.938,0.038,7,96
11,0.969,0.044,7,96
11.5,0.588,0.05,7,96
12,0.5,0.033,7,96
12.5,0.856,0.062,7,96
13,0.925,0.023,7,96
13.5,0.894,0.068,7,96
14,0.844,0.018,7,96
14.5,0.813,0.068,7,96
15,0.756,0.028,7,96
15.5,0.656,0.062,7,96
16,0.563,0.036,7,96
16.5,0.35,0.053,7,96
17,0.194,0.046,7,96
17.5,0.05,0.043,7,96
18,0.019,0.056,7,96
18.5,0.006,0.067,7,96
19,0,0.113,7,96
19.5,0,0.065,7,96
20,0,0.127,7,96
20.5,0,0.046,7,96
21,0,0.065,7,96
21.5,0,0.022,7,96
22,0,0.067,7,96
22.5,0,0.022,7,96
23,0,0.064,7,96
23.5,0,0.036,7,96
0,0,0.123,8,102
0.5,0,0.082,8,102
1,0,0.146,8,102
1.5,0,0.21,8,102
2,0,0.163,8,102
2.5,0,0.128,8,102
3,0,0.096,8,102
3.5,0,0.13,8,102
4,0,0.103,8,102
4.5,0,0.115,8,102
5,0,0.109,8,102
5.5,0,0.122,8,102
6,0.006,0.326,8,102
6.5,0.031,0.268,8,102
7,0.056,0.124,8,102
7.5,0.088,0.094,8,102
8,0.113,0.494,8,102
8.5,0.15,1.039,8,102
9,0.169,1.844,8,102
9.5,0.325,0.989,8,102
10,0.281,0.896,8,102
10.5,0.281,0.926,8,102
11,0.163,0.797,8,102
