1,63,63,62
2,67,67,66
3,77,77,76
4,82,82,81
5,90,90,89
6,91,91,90
7,97,97,96
8,103,103,102
9,110,110,109
10,111,111,110
11,119,119,118
12,128,128,127
13,132,132,131
14,141,141,140
15,147,147,146
16,151,151,150
17,156,156,155
18,163,163,162
19,173,173,172
20,177,177,176
21,181,181,180
22,185,185,184
23,186,186,185
24,194,194,193
25,201,201,200
26,206,206,205
27,214,214,213
28,217,217,216
29,221,221,220
30,222,222,221
31,225,225,224
32,237,237,236
33,247,247,246
34,253,253,252
35,261,261,260
36,267,267,266
37,268,268,267
38,279,279,278
39,280,280,279
40,293,293,292
41,299,299,298
42,301,301,300
43,306,306,305
44,307,307,306
45,308,308,307
46,309,309,308
47,311,311,310
48,322,322,321
49,329,329,328
50,348,347,346
51,355,354,353
52,363,362,361
53,377,374,373
54,385,382,381
55,392,388,387
56,393,389,388
57,395,391,390
58,407,399,398
59,409,401,400
60,426,417,416
61,433,420,419
62,435,422,421
63,437,424,423
64,443,430,429
65,452,438,437
66,458,442,441
67,463,445,444
68,477,458,457
69,481,460,459
70,483,462,461
71,499,474,473
72,502,477,476
73,506,479,478
74,512,482,481
75,514,484,483
76,515,485,484
77,520,490,489
78,526,495,494
79,527,496,495
80,531,498,497
81,534,501,500
82,535,502,501
83,541,504,503
84,545,508,507
85,550,512,511
86,555,515,514
87,558,517,516
88,560,519,518
89,569,524,523
90,573,527,526
91,577,529,528
92,580,531,530
93,583,533,532
94,589,535,534
95,591,536,535
96,595,537,536
97,601,538,537
98,604,539,538
99,608,540,539
100,613,541,540
